"state_cd","state","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan_flag","taf_enrollee_count","taf_n_enrollees_at_least_one_claim","cms_plan_unmatched","taf_plan_unmatched","matched_last_year","matched_next_year","matched","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","taf_no_enrollment_or_claims"
"AL","Alabama",2018,"","Primary Care Case Management (PCCM)","Health Homes (Primary Care Case Management (PCCM))","Health Homes","Statewide",230966,0,230966,"Alabama Medicaid Agency",NA,NA,0,NA,NA,1,0,0,0,0,0,"Alabama Medicaid Agency","Alabama Medicaid Agency",0
"AR","Arkansas",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Complete Health","Statewide",4,54,58,"PACE",NA,NA,0,72,NA,0,0,1,1,1,0,"United Healthcare","Complete Health with PACE",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",89447,12239,101686,"Central Arkansas Development Council",NA,NA,0,92182,NA,0,0,1,1,1,0,"Central Arkansas Development Council","Central Arkansas Development",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Mid-Delta","Prairie, Monroe, Phillips, and Lee Counties",9132,1966,11098,"Mid-Delta",NA,NA,0,22389,NA,0,0,1,NA,1,0,"Mid-Delta","Mid-Delta",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Western Arkansas","Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",0,0,0,"Area Agency on Aging of Western Arkansas",NA,NA,0,132365,NA,0,0,1,NA,1,0,"Area Agencies on Aging","Area Agencies on Aging",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",41163,6155,47318,"Area Agency on Aging of Southeast Arkansas",NA,NA,0,82572,NA,0,0,1,1,1,0,"Area Agencies on Aging","Area Agency on Aging of Southeast",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",0,0,0,"Central Arkansas Development Council",NA,NA,0,39147,NA,0,0,1,NA,1,0,"Central Arkansas Development Council","Central Arkansas Development",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",0,0,0,"Area Agency on Aging of Southeast Arkansas",NA,NA,0,12511,NA,0,0,1,NA,1,0,"Area Agencies on Aging","Area Agencies on Aging",0
"AR","Arkansas",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Total Life Healthcare","Statewide",6,194,200,"PACE",NA,NA,0,261,NA,0,0,1,1,1,0,"St. Bernard's Healthcare","Southeastrans, Inc",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Western Arkansas","Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",202853,25959,228812,"Area Agency on Aging of Western Arkansas",NA,NA,0,88511,NA,0,0,1,0,1,0,"Area Agencies on Aging","Area Agencies on Aging",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",170302,20780,191082,"Southeasttrans",NA,NA,0,188603,NA,0,0,1,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,145064,NA,0,0,1,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Western Arkansas","Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",0,0,0,"Area Agency on Aging of Western Arkansas",NA,NA,0,172933,NA,0,0,1,NA,1,0,"Area Agencies on Aging","Area Agencies on Aging",0
"AR","Arkansas",2018,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",0,0,0,"Central Arkansas Development Council",NA,NA,0,50256,NA,0,0,1,NA,1,0,"Central Arkansas Development Council","Central Arkansas Development",0
"AR","Arkansas",2018,"","Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas","Statewide",269858,27377,297235,"Delta Dental",NA,NA,0,372945,NA,0,0,NA,1,1,0,"Delta Dental","Delta Dental of Arkansas",0
"AR","Arkansas",2018,"","Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental","Statewide",253639,26096,279735,"Managed Care of North America (MCNA), Inc.",NA,NA,0,362587,NA,0,0,NA,1,1,0,"Managed Care of North America, Inc.","MCNA Dental",0
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Empower Healthcare Solutions","Statewide",10943,1027,11970,"Beacon",NA,NA,0,16725,NA,0,0,NA,1,1,0,"Beacon","Empower Healthcare Solutions",0
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Forevercare","Statewide",4462,364,4826,"Gateway Health",NA,NA,0,8025,NA,0,0,NA,0,1,0,"Gateway Health, LLC.","Forever Care",0
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Arkansas Total Care","Statewide",4477,334,4811,"Centene Corporation",NA,NA,0,8172,NA,0,0,NA,1,1,0,"Centene","Arkansas Total Care",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity))","Summit Community Care","Statewide",6433,1038,7471,"Anthem Insurance Companies, Inc.",NA,NA,0,12352,NA,0,0,NA,1,1,0,"Anthem","Summit Community Care",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",0,0,0,"Multiple Primary Care Provider (PCCM)",NA,NA,0,473613,NA,0,0,1,1,1,0,"Multiple Primary Care Provider (PCCM)","AR State",0
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",444695,589,445284,"Multiple Primary Care Provider (PCCM)",NA,NA,0,73290,NA,0,0,1,1,1,0,"Multiple Primary Care Provider (PCCM)","AR State",0
"AR","Arkansas",2018,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",0,0,0,"Multiple Primary Care Provider (PCCM)",NA,NA,0,30904,NA,0,0,1,1,1,0,"Multiple Primary Care Provider (PCCM)","AR State",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17827,NA,0,1,0,NA,0,0,"Children's Rehabilitative Services","Children's Rehabilitative Services",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,227,NA,0,1,0,NA,0,0,"Children's Rehabilitative Services","Children's Rehabilitative Services",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan","Apache, Cochise, Coconino, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Santa Cruz, Yavapai, and Yuma Counties",469579,46866,516445,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,662184,NA,0,0,1,1,1,0,"United Healthcare","United Healthcare",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DCS/CMDP","Statewide",13869,1,13870,"Government Agency/Non-Profit Entity","DCS/CMDP","",1,23056,NA,0,0,1,1,1,0,"Government Agency/Non-Profit Entity","DCS/CHP",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care1st Health Plan","Maricopa and Pima Counties",130829,7821,138650,"WellCare","Care1st Health Plan","WellCare",1,250672,NA,0,0,1,1,1,0,"WellCare","Care 1st Health Plan",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan","Maricopa and Pima Counties",339317,20885,360202,"Dignity Health and Carondelet Health Network","Mercy Care Plan","",1,1136577,NA,0,0,1,1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","University Family Care","Cochise, Gila, Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, Yavapai, and Yuma Counties",119538,10815,130353,"Banner Health","University Family Care","",1,237864,NA,0,0,1,1,1,0,"Banner Health","Banner University Family Care",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,609283,NA,0,1,0,1,0,0,"Centene","Arizona Complete Health - Complete Care Plan",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima, and Pinal Counties",227648,15421,243069,"IASIS Healthcare LLC/Steward","Health Choice Arizona","Steward Health Care System",1,495120,NA,0,0,1,1,1,0,"Steward Health Care System","Health Choice Arizona",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6486,NA,0,1,0,1,0,0,"Magellan","Molina Complete Care of Arizona",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,183309,NA,0,1,0,NA,0,0,"Blue Cross Blue Shield of Arizona","Blue Cross Blue Shield of Arizona",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Integrated Care","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai Counties",3571,2151,5722,"Health Choice Arizona/NARBHA","Health Choice Integrated Care","",1,6791,NA,0,0,1,NA,1,0,"Blue Cross Blue Shield of Arizona","Health Choice Integrated Care",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,499642,NA,0,1,0,NA,0,0,"Centene","Cenpatico Integrated Care",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Cenpatico Integrated Care","Cochise,  Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, and Yuma Counties",8811,4564,13375,"Centene Corporation","Cenpatico Integrated Care","Centene",1,15500,NA,0,0,1,NA,1,0,"Centene","Cenpatico Integrated Care",0
"AZ","Arizona",2018,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1047846,NA,0,1,0,NA,0,0,"Dignity Health and Carondelet Health Network","Mercy Maricopa Integrated Care",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Maricopa Integrated Care","Maricopa County",13905,7776,21681,"Mercy Care","Mercy Maricopa Integrated Care","",1,25522,NA,0,0,1,NA,1,0,"Dignity Health and Carondelet Health Network","Mercy Maricopa Integrated Care",0
"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)","Statewide",25123,7131,32254,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities","",1,34415,NA,0,0,1,1,1,0,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties",1171,7538,8709,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,11752,NA,0,0,1,1,1,0,"United Healthcare","United Healthcare",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan (MLTSS)","Gila, Maricopa, Pima, and Pinal Counties",2436,9993,12429,"Dignity Health and Carondelet Health Network","Mercy Care Plan","",1,15561,NA,0,0,1,1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care",0
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties",891,5281,6172,"Banner Health","Banner University Family Care","",1,8242,NA,0,0,0,1,1,0,"Banner Health","Banner University Family Care",0
"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AZ","Arizona",2018,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Net Access","Maricopa County",54005,3657,57662,"Centene Corporation","Health Net Access","Centene",1,NA,NA,1,0,0,0,0,0,"Centene","Mercy Care",0
"CA","California",2018,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento County",2381,29,2410,"Aetna","Aetna Better Health of CA","Aetna",1,5562,NA,0,0,NA,1,1,0,"Aetna","Aetna Better Health of CA",0
"CA","California",2018,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego County",4606,53,4659,"Aetna","Aetna Better Health of CA","Aetna",1,9058,NA,0,0,NA,1,1,0,"Aetna","Aetna Better Health of CA",0
"CA","California",2018,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego County",5988,138,6126,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,5801,NA,0,0,0,NA,1,0,"United Healthcare","UnitedHealthcare Community Plan",0
"CA","California",2018,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/Sacramento","Sacramento County",4764,140,4904,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,10638,NA,0,0,0,1,1,0,"United Healthcare","UnitedHealthcare Community Plan",0
"CA","California",2018,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group Partnership Plan/San Diego","San Diego County",254741,19408,274149,"Community Health Group","Community Health Group","",1,323253,NA,0,0,1,1,1,0,"Community Health Group","Community Health Group",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sutter SeniorCare PACE/Sacramento","Sacramento County",31,263,294,"Sutter Health",NA,NA,0,358,NA,0,0,1,1,1,0,"Sutter Health","Sutter Health",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Alameda","Alameda County",68,558,626,"Center for Elders Independence",NA,NA,0,763,NA,0,0,1,1,1,0,"Center for Elders Independence","Center for Elders Independence",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",673,1858,2531,"AltaMed Health Services Corporation",NA,NA,0,3003,NA,0,0,1,1,1,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation",0
"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Contra Costa","Contra Costa County",15,65,80,"Center for Elders Independence",NA,NA,0,109,NA,0,0,1,1,1,0,"Center for Elders Independence","Center for Elders Independence",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/San Francisco","San Francisco County",88,905,993,"On Lok Lifeways",NA,NA,0,1130,NA,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda County",56,194,250,"On Lok Lifeways",NA,NA,0,295,NA,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","St. Paul's PACE/San Diego","San Diego County",149,580,729,"Community Eldercare of San Diego",NA,NA,0,924,NA,0,0,1,1,1,0,"Community Eldercare of San Diego","Community Eldercare of San Diego",0
"CA","California",2018,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Santa Clara","Santa Clara County",49,207,256,"On Lok Lifeways",NA,NA,0,328,NA,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
