state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AL,*PT1ST,Multiple Primary Care Providers,Alabama,2018,,Primary Care Case Management (PCCM),Patient 1st (Primary Care Case Management (PCCM)),Patient 1st,Statewide,611251,0,611251,Alabama Medicaid Agency,"",0,PATIENT FIRST,804798,4212,1,0,Alabama Medicaid Agency,"",1,,
AR,*101652093,Complete Health with PACE,Arkansas,2018,,Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Complete Health,Statewide,4,54,58,PACE,"",0,COMPLETE HEALTHWITH PACE,72,71,1,0,Baptist Health,"",1,,
AR,*132838715,Central Arkansas Development,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Central Arkansas Development Council,"Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",89447,12239,101686,Central Arkansas Development Council,"",0,CENTRAL ARKANSAS DEVELOPMENT,92182,93400,1,0,Central Arkansas Development Council,"",1,,
AR,*132839715,Mid-Delta,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Mid-Delta,"Prairie, Monroe, Phillips, and Lee Counties",9132,1966,11098,Mid-Delta,"",0,MID DELTA TRANSIT,22389,22734,,0,Mid-Delta,"",1,,
AR,*132842715,Area Agency of Aging of Western Arkansas,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Area Agency on Aging of Western Arkansas,"Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",0,0,0,Area Agency on Aging of Western Arkansas,"",0,AREA AGENCY ON AGING OF WESTERN,132365,134053,,0,Area Agencies on Aging,"",1,,
AR,*132845715,Area Agency on Aging of Southeast Arkansas,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Area Agency on Aging of Southeast Arkansas,"Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",41163,6155,47318,Area Agency on Aging of Southeast Arkansas,"",0,AREA AGENCY ON AGING OF SOUTHEAST,82572,83607,1,0,Area Agencies on Aging,"",1,,
AR,*132846715,Central Arkansas Development,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Central Arkansas Development Council,"Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",0,0,0,Central Arkansas Development Council,"",0,CENTRAL ARKANSAS DEVELOPMENT,39147,39704,,0,Central Arkansas Development Council,"",1,,
AR,*132847715,Area Agency on Aging of Southeast Arkansas,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Area Agency on Aging of Southeast Arkansas,"Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",0,0,0,Area Agency on Aging of Southeast Arkansas,"",0,AREA AGENCY ON AGING OF,12511,13243,,0,Area Agencies on Aging,"",1,,
AR,*156033093,St. Bernard's Healthcare,Arkansas,2018,,Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),Total Life Healthcare,Statewide,6,194,200,PACE,"",0,TOTAL LIFE HEALTHCARE INC,261,262,1,0,St. Bernard's Healthcare,"",1,,
AR,*194921715,Area Agency of Aging of Western Arkansas,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Area Agency on Aging of Western Arkansas,"Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",202853,25959,228812,Area Agency on Aging of Western Arkansas,"",0,AREA AGENCY ON AGING OF WESTERN,88511,89569,0,0,Area Agencies on Aging,"",1,,
AR,*195015715,"Southeastrans, Inc",Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",170302,20780,191082,Southeasttrans,"",0,"SOUTHEASTRANS, INC                                                                ",188603,191126,1,0,Southeastrans,"",1,,
AR,*197468715,"Southeastrans, Inc",Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,Southeasttrans,"",0,"SOUTHEASTRANS, INC                                                                ",145064,146790,1,0,Southeastrans,"",1,,
AR,*220167715,Area Agency of Aging of Western Arkansas,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Area Agency on Aging of Western Arkansas,"Benton, Washington, Madison, Newton, Searcy, Baxter, Boone, Carroll, Fulton, Izard, Sharp, Stone, Independence, Jackson, Van Buren, Cleburne, White, Woodruff, Crawford, Franklin, Johnson, Pope, Sebastian, Logan, Yell, Scott, Polk, Perry, and Conway Counties",0,0,0,Area Agency on Aging of Western Arkansas,"",0,AREA AGENCY ON AGING OF WEST,172933,175130,,0,Area Agencies on Aging,"",1,,
AR,*220828715,Central Arkansas Development,Arkansas,2018,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation),Central Arkansas Development Council,"Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",0,0,0,Central Arkansas Development Council,"",0,CENTRAL ARKANSAS DEVELOPMENTCOUN,50256,50918,,0,Central Arkansas Development Council,"",1,,
AR,*221537727,Delta Dental of Arkansas,Arkansas,2018,,Dental only (PAHP),Arkansas Dental Managed Care (Dental only (PAHP)),Delta Dental of Arkansas,Statewide,269858,27377,297235,Delta Dental,"",0,DELTA DENTAL,372945,384641,1,0,Delta Dental,"",,,
AR,*221739727,MCNA Dental,Arkansas,2018,,Dental only (PAHP),Arkansas Dental Managed Care (Dental only (PAHP)),Managed Care of North America (MCNA) Dental,Statewide,253639,26096,279735,"Managed Care of North America (MCNA), Inc.","",0,MCNA,362587,374218,1,0,"Managed Care of North America, Inc.","",,,
AR,*223649727,Empower Healthcare Solutions,Arkansas,2018,,Primary Care Case Management (PCCM),Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity)),Empower Healthcare Solutions,Statewide,10943,1027,11970,Beacon,"",0,EMPOWER HEALTH SOLUTIONS,16725,,1,0,Arkansas Community Health Network|Arkansas Healthcare Alliance|Beacon Health Options|Independent Case Management|Statera|Woodruff Health Group,"",,,
AR,*223655727,Forever Care,Arkansas,2018,,Primary Care Case Management (PCCM),Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity)),Forevercare,Statewide,4462,364,4826,Gateway Health,"",0,FOREVER CARE,8025,,0,0,"Gateway Health, LLC.","",,,
AR,*223658727,Arkansas Total Care,Arkansas,2018,,Primary Care Case Management (PCCM),Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity)),Arkansas Total Care,Statewide,4477,334,4811,Centene Corporation,"",0,ARKANSAS TOTAL CARE,8172,,1,0,Centene,"",,,
AR,*224446727,Summit Community Care,Arkansas,2018,,Primary Care Case Management (PCCM),Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Primary Care Case Management Entity (PCCM Entity)),Summit Community Care,Statewide,6433,1038,7471,"Anthem Insurance Companies, Inc.","",0,SUMMIT,12352,,1,0,Anthem,"",,,
AR,*PCCM001,Multiple Primary Care Providers,Arkansas,2018,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management (PCCM)),Multiple primary care providers,Statewide,0,0,0,Multiple Primary Care Provider (PCCM),"",0,PCCM PHYSICIAN,473613,443014,1,0,AR State,"",1,,
AR,*PCCM002,Multiple Primary Care Providers,Arkansas,2018,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management (PCCM)),Multiple primary care providers,Statewide,444695,589,445284,Multiple Primary Care Provider (PCCM),"",0,PCCM FQHC,73290,65156,1,0,AR State,"",1,,
AR,*PCCM003,Multiple Primary Care Providers,Arkansas,2018,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management (PCCM)),Multiple primary care providers,Statewide,0,0,0,Multiple Primary Care Provider (PCCM),"",0,PCCM PCP GROUP,30904,28195,1,0,AR State,"",1,,
AZ,"",Health Net Access,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Net Access,Maricopa County,54005,3657,57662,Centene Corporation,Health Net Access,1,"",,,0,0,Centene,Centene,0,,
AZ,*010115,Children's Rehabilitative Services,Arizona,2018,,"","","","",,,,"","",0,CRS FULLY INTEGRATED,17827,18400,,0,Children's Rehabilitative Services,"",0,,
AZ,*010145,Children's Rehabilitative Services,Arizona,2018,,"","","","",,,,"","",0,CRS PARTIAL ACUTE,227,2026,,0,Children's Rehabilitative Services,"",0,,
AZ,*010158,United Healthcare,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan,"Apache, Cochise, Coconino, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Santa Cruz, Yavapai, and Yuma Counties",469579,46866,516445,UnitedHealthcare,United Healthcare Plan,1,UNITEDHEALTHCARE,662184,666318,1,0,United Healthcare,UnitedHealth Group,1,,
AZ,*010166,DCS/CHP,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DCS/CMDP,Statewide,13869,1,13870,Government Agency/Non-Profit Entity,DCS/CMDP,1,DCS/CMDP,23056,23555,1,0,Government Agency/Non-Profit Entity,"",1,,
AZ,*010254,Care 1st Health Plan,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Care1st Health Plan,Maricopa and Pima Counties,130829,7821,138650,WellCare,Care1st Health Plan,1,CARE1ST HEALTH PLAN,250672,252413,1,0,WellCare,WellCare,1,,
AZ,*010306,Mercy Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan,Maricopa and Pima Counties,339317,20885,360202,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,MERCY CARE PLAN,1136577,534871,1,0,Dignity Health|Ascension Health,"",1,,
AZ,*010314,Banner University Family Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),University Family Care,"Cochise, Gila, Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, Yavapai, and Yuma Counties",119538,10815,130353,Banner Health,University Family Care,1,BANNER UNIV FAMILY CARE,237864,239414,1,0,Banner Health,"",1,,
AZ,*010422,Arizona Complete Health,Arizona,2018,,"","","","",,,,"","",0,AZ COMPLETE HEALTH CARE,609283,248427,1,0,Centene,"",0,,
AZ,*010497,Health Choice Arizona,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima, and Pinal Counties",227648,15421,243069,IASIS Healthcare LLC/Steward,Health Choice Arizona,1,HEALTH CHOICE ARIZONA,495120,346523,1,0,Steward Health Care System,Steward Health Care System,1,,
AZ,*010500,Molina Complete Care of Arizona,Arizona,2018,,"","","","",,,,"","",0,MAGELLAN COMPLETE CARE,6486,6571,1,0,Magellan,"",0,,
AZ,*010705,Health Choice Arizona,Arizona,2018,,"","","","",,,,"","",0,HEALTH CHOICE RBHA,183309,28005,,0,Steward Health Care System,"",0,,
AZ,*010715,Health Choice Integrated Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Integrated Care,"Apache, Coconino, Gila, Mohave, Navajo, and Yavapai Counties",3571,2151,5722,Health Choice Arizona/NARBHA,Health Choice Integrated Care,1,HEALTH CHOICE INTEGRATED,6791,6843,,0,Steward Health Care System,"",1,,
AZ,*010730,Cenpatico,Arizona,2018,,"","","","",,,,"","",0,CENPATICO RBHA,499642,81798,,0,Centene,"",0,,
AZ,*010735,Cenpatico Integrated Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Cenpatico Integrated Care,"Cochise,  Graham, Greenlee, La Paz, Pima, Pinal, Santa Cruz, and Yuma Counties",8811,4564,13375,Centene Corporation,Cenpatico Integrated Care,1,CENPATICO INTEGRATED CARE,15500,15592,,0,Centene,Centene,1,,
AZ,*010789,Mercy Maricopa,Arizona,2018,,"","","","",,,,"","",0,MERCY MARICOPA RBHA,1047846,157294,,0,Dignity Health|Ascension Health,"",0,,
AZ,*010795,Mercy Maricopa Integrated Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Maricopa Integrated Care,Maricopa County,13905,7776,21681,Mercy Care,Mercy Maricopa Integrated Care,1,MERCY MARICOPA INTEGRATED,25522,25824,,0,Dignity Health|Ascension Health,"",1,,
AZ,*110007,DES/Division of Developmental Disabilities,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DES/Division of Developmental Disabilities (MLTSS),Statewide,25123,7131,32254,Government Agency/Non-Profit Entity,DES/Division of Developmental Disabilities,1,LTC DD DES,34415,34601,1,0,Government Agency/Non-Profit Entity,"",1,,
AZ,*110050,United Healthcare,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan (MLTSS),"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties",1171,7538,8709,UnitedHealthcare,United Healthcare Plan,1,UNITEDHEALTHCARE LTC,11752,12300,1,0,United Healthcare,UnitedHealth Group,1,,
AZ,*110306,Mercy Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan (MLTSS),"Gila, Maricopa, Pima, and Pinal Counties",2436,9993,12429,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,MERCY CARE PLAN - LTC,15561,16019,1,0,Dignity Health|Ascension Health,"",1,,
AZ,*110313,Banner University Family Care,Arizona,2018,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Banner University Family Care (MLTSS),"Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties",891,5281,6172,Banner Health,Banner University Family Care,1,BANNER - UNIVERSITY LTC,8242,8754,1,0,Banner Health,"",0,,
CA,*015,Aetna Better Health of CA,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Aetna Better Health of CA/Sacramento,Sacramento County,2381,29,2410,Aetna,Aetna Better Health of CA,1,AETNA BETTER HEALTH OF CALIFORNIA,5562,5766,1,0,CVS Health Corporation,Aetna,,2018-11-28,
CA,*016,Aetna Better Health of CA,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Aetna Better Health of CA/San Diego,San Diego County,4606,53,4659,Aetna,Aetna Better Health of CA,1,AETNA BETTER HEALTH OF CALIFORNIA,9058,9270,1,0,CVS Health Corporation,Aetna,,2018-11-28,
CA,*017,UnitedHealthcare Community Plan,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan/San Diego,San Diego County,5988,138,6126,UnitedHealthcare,United Healthcare Plan,1,UNITED HEALTH CARE,5801,6048,,0,United Healthcare,UnitedHealth Group,0,,
CA,*018,UnitedHealthcare Community Plan,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan/Sacramento,Sacramento County,4764,140,4904,UnitedHealthcare,United Healthcare Plan,1,UNITED HEALTH CARE,10638,10896,1,0,United Healthcare,UnitedHealth Group,0,,
CA,*029,Community Health Group,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Community Health Group Partnership Plan/San Diego,San Diego County,254741,19408,274149,Community Health Group,Community Health Group,1,COMMUNITY HEALTH GROUP PARTNERSHIP PLAN,323253,328548,1,0,Community Health Group,"",1,,
CA,*050,Sutter Health,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Sutter SeniorCare PACE/Sacramento,Sacramento County,31,263,294,Sutter Health,"",0,SUTTER SENIOR CARE,358,370,1,0,Sutter Health,"",1,,
CA,*051,Center for Elders Independence,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Center for Elders Independence/Alameda,Alameda County,68,558,626,Center for Elders Independence,"",0,CENTER FOR ELDERS INDEPENDENCE,763,794,1,0,Center for Elders Independence,"",1,,
CA,*052,AltaMed Health Services Corporation,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),AltaMed Senior Buenacare/Los Angeles,Los Angeles County,673,1858,2531,AltaMed Health Services Corporation,"",0,ALTA MED SENIOR BUENACARE,3003,3077,1,0,AltaMed Health Services Corporation,"",1,,
CA,*054,Center for Elders Independence,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Center for Elders Independence/Contra Costa,Contra Costa County,15,65,80,Center for Elders Independence,"",0,CENTER FOR ELDERS INDEPENDENCE (C COSTA),109,124,1,0,Center for Elders Independence,"",1,,
CA,*055,On Lok Lifeways,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/San Francisco,San Francisco County,88,905,993,On Lok Lifeways,"",0,ON LOK LIFEWAYS (SAN FRANCISCO),1130,1149,1,0,On Lok Lifeways,"",1,,
CA,*056,On Lok Lifeways,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/Alameda,Alameda County,56,194,250,On Lok Lifeways,"",0,ON LOK LIFEWAYS (ALAMEDA),295,302,1,0,On Lok Lifeways,"",1,,
CA,*057,Community Eldercare of San Diego,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),St. Paul's PACE/San Diego,San Diego County,149,580,729,Community Eldercare of San Diego,"",0,ST. PAUL'S PACE,924,976,1,0,Community Eldercare of San Diego,"",1,,
CA,*058,On Lok Lifeways,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/Santa Clara,Santa Clara County,49,207,256,On Lok Lifeways,"",0,ON LOK LIFEWAYS (SANTA CLARA),328,342,1,0,On Lok Lifeways,"",1,,
CA,*059,CalOptima,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),CalOptima PACE/Orange,Orange County,110,164,274,CalOptima,"",0,CALOPTIMA PACE,345,349,1,0,CalOptima,"",1,,
CA,*060,Brandman Centers for Senior Care,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Brandman Centers for Senior Care/Los Angeles,Los Angeles County,30,199,229,Brandman Centers for Senior Care,"",0,BRANDMAN CENTERS FOR SENIOR CARE,273,283,1,0,Los Angeles Jewish Health,"",1,,
CA,*061,InnovAge,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge PACE/Riverside,Riverside County,37,104,141,InnovAge,"",0,INNOVAGE (RIVERSIDE),205,209,1,0,InnovAge,"",1,,
CA,*062,InnovAge,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge PACE/San Bernardino County,San Bernardino County,97,287,384,InnovAge,"",0,INNOVAGE (SAN BERNARDINO),548,565,1,0,InnovAge,"",1,,
CA,*063,Humboldt Senior Resource Center,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Redwood Coast Pace/Humboldt,Humboldt County,14,141,155,Humboldt Senior Resource Center,"",0,"""""HUMBOLDT SENIOR RESOURCE CENTER, INC.""""                                           ",185,187,1,0,Humboldt Senior Resource Center,"",1,,
CA,*064,Golden Valley Health Centers,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Fresno PACE,Fresno County,213,307,520,Central Valley Medical Services Corporation,"",0,CENTRAL VALLEY MEDICAL SERVICES CORP,683,684,1,0,Golden Valley Health Centers,"",1,,
CA,*065,San Diego PACE,California,2018,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),San Diego PACE,San Diego County,86,236,322,PACE,"",0,SAN DIEGO PACE,426,430,1,0,San Ysidro Health,"",1,,
CA,*068,Health Net,California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Health Net/San Diego,San Diego County,58742,14473,73215,Centene Corporation,Health Net,1,"""""HEALTH NET COMMUNITY SOLUTIONS, INC.""""                                            ",92606,94166,1,0,Centene,Centene,1,,
CA,*079,KP Cal LLC (Kaiser Permanente),California,2018,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),KP Cal LLC/San Diego,San Diego County,45426,6450,51876,Kaiser Permanente,KP Cal LLC (Kaiser Permanente),1,KP CAL LLC (SOCAL),61093,62109,1,0,Kaiser Permanente,Kaiser Permanente,1,,
CA,*100,Anthem Blue Cross Partnership Plan,California,2018,,Comprehensive MCO,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Region 2,"Alpine, Amador, Calaveras, El Dorado, Inyo, Mariposa, Mono, Nevada, Placer, Tuolumne, and Yuba Counties",84249,2880,87129,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership,1,ANTHEM BLUE CROSS PARTNERSHIP PLAN,171,174,1,0,Anthem,Anthem,1,,
