"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","id_occurrence_no"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"142772","143479",1,0,"Southeastrans","Southeastrans, Inc",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"177738","178427",1,0,"Southeastrans","Southeastrans, Inc",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Dental only (PAHP)","Delta Dental Plan Arkansas (Dental only (PAHP))","Delta Dental Smiles","Statewide",340976,32218,373194,"Delta Dental of Arkansas",NA,NA,0,"373941","375249",1,0,"Delta Dental","Delta Dental of Arkansas",1
"Arkansas","AR",2021,"","Dental only (PAHP)","MCNA Insurance Company (Dental only (PAHP))","MCNA Dental","Statewide",319672,30146,349818,"MCNA Dental",NA,NA,0,"351784","353133",1,0,"United Healthcare","MCNA Dental",1
"Arkansas","AR",2021,"","Comprehensive MCO + MLTSS","Empower Healthcare Solutions (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions","Statewide",17950,1815,19765,"Beacon","Empower Healthcare Solutions","Anthem",1,"21683","22311",1,0,"Beacon","Empower Healthcare Solutions",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Comprehensive MCO + MLTSS","Arkansas Total Care (Comprehensive MCO + MLTSS)","Arkansas Total Care","Statewide",12158,1449,13607,"Centene","Arkansas Total Care","Centene",1,"15916","15973",1,0,"Centene","Arkansas Total Care",1
"Arkansas","AR",2021,"","Comprehensive MCO + MLTSS","Summit Community Care (Comprehensive MCO + MLTSS)","Summit Community Care","Statewide",13538,2929,16467,"Anthem","Summit Community Care","Anthem",1,"18325","18420",1,0,"Anthem","Summit Community Care",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"Less than 100","Less than 100",1,0,"Southeastrans","Southeastrans, Inc",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",668446,44906,713352,"Southeastrans, Inc",NA,NA,0,"88445","88915",1,0,"Southeastrans","Southeastrans, Inc",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"140704","141320",1,0,"Southeastrans","Southeastrans, Inc",1
"Arkansas","AR",2021,"","Non-Emergency Medical Transportation","Southeastrans, Inc (Non-Emergency Medical Transportation)","Southeastrans, Inc","Statewide",0,0,0,"Southeastrans, Inc",NA,NA,0,"198240","199304",1,0,"Southeastrans","Southeastrans, Inc",1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"446693","448313",1,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",453131,0,453131,"AR State",NA,NA,0,"74740","74955",1,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"23970","24085",1,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"Less than 100","Less than 100",NA,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"15026","15044",NA,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"303855","304139",NA,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"38639","38689",NA,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Primary Care Case Management (PCCM)","PCCM (Primary Care Case Management (PCCM))","Primary Care Case Management","Statewide",0,0,0,"AR State",NA,NA,0,"21573","21618",NA,0,"Multiple primary care providers","AR State",1
"Arkansas","AR",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","Arkansas Blue Cross Blue Shield (Other Prepaid Health Plan (PHP) (limited benefits))","Arkansas Blue Cross Blue Shield","Statewide",123997,0,123997,"Blue Cross Blue Shield",NA,NA,0,NA,NA,NA,1,"Blue Cross Blue Shield","Blue Cross Blue Shield",1
"Arkansas","AR",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","Arkansas Health & Wellness Solutions (Other Prepaid Health Plan (PHP) (limited benefits))","Arkansas Health & Wellness Solutions","Statewide",57970,0,57970,"Celtic Insurance Company",NA,NA,0,NA,NA,NA,0,"Celtic Insurance Company","Celtic Insurance Company",2
"Arkansas","AR",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","HMO Partners, Inc (Other Prepaid Health Plan (PHP) (limited benefits))","HMO Partners, Inc","Statewide",23569,0,23569,"Health Advantage",NA,NA,0,NA,NA,NA,0,"Health Advantage","Health Advantage",3
"Arkansas","AR",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","QCA Health Plan, Inc (Other Prepaid Health Plan (PHP) (limited benefits))","QCA Health Plan, Inc","Statewide",41101,0,41101,"Qualchoice",NA,NA,0,NA,NA,NA,0,"Qualchoice","Qualchoice",4
"Arkansas","AR",2021,"","Other Prepaid Health Plan (PHP) (limited benefits)","Qualchoice Life & Health Insurance (Other Prepaid Health Plan (PHP) (limited benefits))","Qualchoice Life & Health Insurance","Statewide",41267,0,41267,"Qualchoice",NA,NA,0,NA,NA,NA,0,"Qualchoice","Qualchoice",5
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima, and Pinal counties",396011,35603,431614,"United Healthcare","United Healthcare","UnitedHealth Group",1,"477126","478885",1,0,"United Healthcare","United Healthcare",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DCS/CHP","Statewide",13741,0,13741,"Government Agency/Non-Profit Entity","DCS/CHP","",1,"20810","20984",1,0,"Government Agency/Non-Profit Entity","DCS/CHP",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",176446,14131,190577,"WellCare/Centene Corporation","Care 1st Health Plan","Centene",1,"354796","205292",1,0,"Centene","Care 1st Health Plan",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa, and Pinal counties",354464,20720,375184,"Dignity Health and Carondelet Health Network","Mercy Care","",1,"1396616","512007",1,0,"Dignity Health and Carondelet Health Network","Mercy Care",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",251788,20281,272069,"Banner Health","Banner University Family Care","",1,"305626","306774",1,0,"Banner Health","Banner University Family Care",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",227734,19738,247472,"Centene Corporation","Arizona Complete Health - Complete Care Plan","Centene",1,"794133","471124",1,0,"Centene","Arizona Complete Health - Complete Care Plan",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",204235,16111,220346,"Blue Cross Blue Shield of Arizona","Health Choice Arizona","",1,"314342","343174",1,1,"Blue Cross Blue Shield of Arizona","Health Choice Arizona",1
"Arizona","AZ",2021,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Molina Complete Care of Arizona","Gila, Maricopa, and Pinal counties",42648,1807,44455,"Molina Complete Care of Arizona","Molina Complete Care of Arizona","Molina",1,"52160","52433",1,0,"Molina","Molina Complete Care of Arizona",1
"Arizona","AZ",2021,"","MLTSS only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","DES/Division of Developmental Disabilities (MLTSS)","Statewide",28888,8016,36904,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities","",1,"38644","38739",1,0,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities",1
"Arizona","AZ",2021,"","MLTSS only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","United Healthcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",1211,7384,8595,"United Healthcare","United Healthcare","UnitedHealth Group",1,"11232","11622",1,0,"United Healthcare","United Healthcare",1
"Arizona","AZ",2021,"","MLTSS only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","Mercy Care (MLTSS)","Gila, Maricopa, Pima, and Pinal counties",2334,8792,11126,"Dignity Health and Carondelet Health Network","Mercy Care","",1,"13594","13980",1,0,"Dignity Health and Carondelet Health Network","Mercy Care",1
"Arizona","AZ",2021,"","MLTSS only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (MLTSS) (MLTSS only (PIHP and/or PAHP))","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",998,5315,6313,"Banner Health","Banner University Family Care","",1,"8314","8593",1,0,"Banner Health","Banner University Family Care",1
"Arizona","AZ",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Mercy Care RBHA (SMI)","Maricopa county",26554,7939,34493,"Dignity Health and Carondelet Health Network","Mercy Care","",1,NA,NA,NA,0,"Dignity Health and Carondelet Health Network","Mercy Care",1
"Arizona","AZ",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Arizona Complete Health- Complete Care Plan RBHA (SMI)","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma counties",14277,4648,18925,"Centene Corporation","Arizona Complete Health - Complete Care Plan","Centene",1,NA,NA,NA,0,"Centene","Arizona Complete Health - Complete Care Plan",2
"Arizona","AZ",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Health Choice Arizona RBHA (SMI)","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai counties",6247,2229,8476,"Blue Cross Blue Shield of Arizona","Health Choice Arizona","",1,NA,NA,NA,1,"Blue Cross Blue Shield of Arizona","Health Choice Arizona",3
"California","CA",2021,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento county",15048,315,15363,"Aetna Medicaid","Aetna Better Health of CA","CVS Health",1,"19458","19837",1,0,"CVS Health Corporation","Aetna Better Health of CA",1
"California","CA",2021,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego county",20593,349,20942,"Aetna Medicaid","Aetna Better Health of CA","CVS Health",1,"26296","26616",1,0,"CVS Health Corporation","Aetna Better Health of CA",1
"California","CA",2021,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego county",23591,542,24133,"UnitedHealthcare","UnitedHealthcare Community Plan","UnitedHealth Group",1,"29537","29902",1,0,"United Healthcare","UnitedHealthcare Community Plan",1
"California","CA",2021,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group-San Diego","San Diego",274645,19324,293969,"Community Health Group Foundation","Community Health Group","",1,"322437","325177",1,0,"Community Health Group","Community Health Group",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Central Valley PACE (Stanislaus)","Stanislaus county",0,0,0,"Golden Valley Health Centers",NA,NA,0,"Less than 100","Less than 100",NA,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Central Valley PACE (Stanislaus)","Stanislaus county",44,49,93,"Golden Valley Health Centers",NA,NA,0,"143","145",NA,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sequoia PACE (Fresno)","Fresno county",0,0,0,"Welbe Health",NA,NA,0,"263","270",NA,0,"Welbe Health","Welbe Health",1
"California","CA",2021,"California plans with fewer than 11 beneficiaries are shown with 0 enrollment.  As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sequoia PACE (Kings)","Kings county",0,0,0,"Welbe Health",NA,NA,0,"Less than 100","Less than 100",NA,0,"Welbe Health","Welbe Health",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sequoia PACE (Tulare)","Tulare county",0,0,0,"Welbe Health",NA,NA,0,"Less than 100","Less than 100",NA,0,"Welbe Health","Welbe Health",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sequoia PACE(Madera)","Madera county",0,0,0,"Welbe Health",NA,NA,0,"Less than 100","Less than 100",NA,0,"Welbe Health","Welbe Health",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Neighborhood PACE (Riverside)","Riverside",0,0,0,"Neighborhood Healthcare PACE",NA,NA,0,"Less than 100","Less than 100",NA,0,"Neighborhealth","Neighborhood Healthcare PACE",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Neighborhood PACE (San Bernardino)","San Bernardino",0,0,0,"Neighborhood Healthcare PACE",NA,NA,0,"Less than 100","Less than 100",NA,0,"Neighborhealth","Neighborhood Healthcare PACE",1
"California","CA",2021,"California plans with fewer than 11 beneficiaries are shown with 0 enrollment.  As a result, PACE program level enrollment may be slightly undercounted.","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","North East Medical Services","San Francisco county",0,24,24,"North East Medical Services",NA,NA,0,"Less than 100","Less than 100",NA,0,"North East Medical Services","North East Medical Services",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Orange","Orange county",0,0,0,"AltaMed Health Services Corporation",NA,NA,0,"171","176",NA,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation",1
NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Fresno PACE","Fresno county",639,339,978,"Innovative Integrated Health Inc",NA,NA,0,"1180","1317",NA,0,"Innovage","Innovative Integrated Health Inc.",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Bakersfield PACE (Tulare)","Tulare",0,0,0,"Innovative Integrated Health Inc.",NA,NA,0,"Less than 100","Less than 100",NA,0,"Innovative Integrated Health","Innovative Integrated Health Inc.",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Bakersfield PACE (Kern)","Kern county",110,77,187,"Innovative Integrated Health Inc.",NA,NA,0,"322","625",NA,0,"Innovative Integrated Health","Innovative Integrated Health Inc.",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sutter SeniorCare PACE/Sacramento","Sacramento county",117,346,463,"Sutter Health",NA,NA,0,"566","579",1,0,"Sutter Health","Sutter Health",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Alameda","Alameda county",152,616,768,"Center for Elders Independence",NA,NA,0,"902","975",1,0,"Center for Elders Independence","Center for Elders Independence",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Los Angeles","Los Angeles county",1028,2205,3233,"AltaMed Health Services Corporation",NA,NA,0,"3921","4056",1,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation",1
NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Contra Costa","Contra Costa county",36,91,127,"Center for Elders Independence",NA,NA,0,"197","215",1,0,"Center for Elders Independence","Center for Elders Independence",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/San Francisco","San Francisco county",133,881,1014,"On Lok Lifeways",NA,NA,0,"1160","1162",1,0,"On Lok Lifeways","On Lok Lifeways",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda county",130,172,302,"On Lok Lifeways",NA,NA,0,"345","345",1,0,"On Lok Lifeways","On Lok Lifeways",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","St. Paul's PACE/San Diego","San Diego county",281,830,1111,"Community Eldercare of San Diego",NA,NA,0,"1364","1416",1,0,"Community Eldercare of San Diego","Community Eldercare of San Diego",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Santa Clara","Santa Clara county",116,231,347,"On Lok Lifeways",NA,NA,0,"412","416",1,0,"On Lok Lifeways","On Lok Lifeways",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","CalOptima PACE/Orange","Orange county",211,193,404,"CalOptima",NA,NA,0,"491","513",1,0,"CalOptima","CalOptima",1
"California","CA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Brandman Centers for Senior Care/Los Angeles","Los Angeles county",54,197,251,"Brandman Centers for Senior Care",NA,NA,0,"334","355",1,0,"Los Angeles Jewish Health","Brandman Centers for Senior Care",1
