"state","state_cd","year","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_matched_next_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name"
NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Complete Health","72002, 72011, 72015, 72019, 72022, 72065, 72103, 72076, 72113, 72114, 72116, 72117, 72118, 72119, 72120, 72135, 72142, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72023, 72046, 72083, 72086,  72032, 72034, 72106, 72173",4,64,68,"PACE",NA,NA,0,"Less than 100","Less than 100",1,1,0,"Complete Health","Complete Health with PACE"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",133403,10066,143469,"Central Arkansas Development Council",NA,NA,0,"169021","167258",1,1,0,"Central Arkansas Development Council","Central Arkansas Development"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",73436,7038,80474,"Area Agency on Aging of Southeast Arkansas",NA,NA,0,"94032","93332",1,1,0,"Area Agencies on Aging","Area Agency on Aging of Southeast"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Total Life Healthcare","72324, 72373, 72387, 72396, 72401, 72416, 72450, 72433, 72465, 72476, 72315, 72319, 72438, 72442, 72354, 72365, 72432, 72472, 72455, 72476, and all zip codes in Craighead County",5,216,221,"PACE",NA,NA,0,"294","301",1,1,0,"St. Bernard's Healthcare","Southeastrans, Inc"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,"136359","135295",1,1,0,"Southeastrans","Southeastrans, Inc"
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,"168318","166333",1,1,0,"Southeastrans","Southeastrans, Inc"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas","Statewide",286363,26682,313045,"Delta Dental",NA,NA,0,"365930","368367",1,1,0,"Delta Dental","Delta Dental of Arkansas"
"Arkansas","AR",2020,"Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental","Statewide",268157,26947,295104,"Managed Care of North America (MCNA), Inc.",NA,NA,0,"344720","347212",1,1,0,"Managed Care of North America, Inc.","MCNA Dental"
"Arkansas","AR",2020,"Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions","Statewide",15641,1669,17310,"Beacon","Empower Healthcare Solutions","Anthem",1,"22073","22233",1,1,0,"Beacon","Empower Healthcare Solutions"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Arkansas Total Care","Statewide",9762,1180,10942,"Centene Corporation","Arkansas Total Care","Centene",1,"15221","14106",1,1,0,"Centene","Arkansas Total Care"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS)","Summit Community Care","Statewide",11441,2901,14342,"Anthem Insurance Companies, Inc.","Summit Community Care","Anthem",1,"18288","17443",1,1,0,"Anthem","Summit Community Care"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Pace of the Ozarks","72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761, 72738, 72740, 72773, 72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959",4,51,55,"PACE",NA,NA,0,"Less than 100","Less than 100",1,1,0,"Washington Regional Medical Center","Southeastrans, Inc"
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",552230,39550,591780,"Southeasttrans",NA,NA,0,"83210","82325",1,1,0,"Southeastrans","Southeastrans, Inc"
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,"133419","132588",1,1,0,"Southeastrans","Southeastrans, Inc"
"Arkansas","AR",2020,"Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,"182716","180811",1,1,0,"Southeastrans","Southeastrans, Inc"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2020,"Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management Entity (PCCM Entity))","Multiple Primary Care Providers","Statewide",0,0,0,"Multiple Primary Care Provider (PCCM)",NA,NA,0,"439521","441832",1,1,0,"Multiple primary care providers","AR State"
"Arkansas","AR",2020,"Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management Entity (PCCM Entity))","Multiple Primary Care Providers","Statewide",408871,1610,410481,"Multiple Primary Care Provider (PCCM)",NA,NA,0,"70804","71114",1,1,0,"Multiple primary care providers","AR State"
"Arkansas","AR",2020,"Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management Entity (PCCM Entity))","Multiple Primary Care Providers","Statewide",0,0,0,"Multiple Primary Care Provider (PCCM)",NA,NA,0,"25158","25366",1,1,0,"Multiple primary care providers","AR State"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima, and Pinal counties",348511,32489,381000,"United Healthcare","United Healthcare Plan","UnitedHealth Group",1,"440711","441852",1,1,0,"United Healthcare","United Healthcare"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DCS/CMDP","Statewide",13524,1,13525,"Government Agency/Non-Profit Entity","DCS/CMDP","",1,"22504","22773",1,1,0,"Government Agency/Non-Profit Entity","DCS/CHP"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",163745,13195,176940,"WellCare/Centene Corporation","Care 1st Health Plan","Centene",1,"202992","203469",1,1,0,"Centene","Care 1st Health Plan"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care RBHA (SMI)","Maricopa county",24332,7574,31906,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,"1213539","472316",1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa and Pinal counties",319293,19174,338467,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,"1213539","472316",1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",222556,18610,241166,"Banner Health","Banner University Family Care","",1,"284769","285628",1,1,0,"Banner Health","Banner University Family Care"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health- Complete Care Plan RBHA (SMI)","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma counties",13776,4527,18303,"Centene Corporation","Arizona Complete Health - Complete Care","Centene",1,"695820","319339",1,1,0,"Centene","Arizona Complete Health - Complete Care Plan"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",191130,17487,208617,"Centene Corporation","Arizona Complete Health - Complete Care","Centene",1,"695820","319339",1,1,0,"Centene","Arizona Complete Health - Complete Care Plan"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona RBHA (SMI)","Apache, Coconino, Gila, Mohave, Navajo, and Yavapai counties",6011,2145,8156,"Blue Cross Blue Shield of Arizona","Steward Health Choice Arizona","",1,"417034","326309",1,1,1,"Blue Cross Blue Shield of Arizona","Health Choice Arizona"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",184977,14669,199646,"Blue Cross Blue Shield of Arizona","Steward Health Choice Arizona","",1,"417034","326309",1,1,1,"Blue Cross Blue Shield of Arizona","Health Choice Arizona"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Magellan Complete Care","Gila, Maricopa, and Pinal counties",28162,1226,29388,"Magellan Health Services of Arizona","Magellan Complete Care","Magellan Health",1,"53272","53531",1,1,0,"Magellan","Molina Complete Care of Arizona"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)","Statewide",27871,7826,35697,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities","",1,"37276","37335",1,1,0,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",1332,8182,9514,"United Healthcare","United Healthcare Plan","UnitedHealth Group",1,"12228","12575",1,1,0,"United Healthcare","United Healthcare"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care (MLTSS)","Gila, Maricopa, Pima, and Pinal counties",2474,9844,12318,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,"15011","15358",1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care"
"Arizona","AZ",2020,"Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",979,5670,6649,"Banner Health","Banner University Family Care","",1,"8656","8914",1,1,0,"Banner Health","Banner University Family Care"
"California","CA",2020,"Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento County",10592,189,10781,"Aetna Medicaid","Aetna Better Health of CA","Aetna/CVS",1,"15203","15581",1,1,0,"CVS Health Corporation","Aetna Better Health of CA"
"California","CA",2020,"Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego County",14055,170,14225,"Aetna Medicaid","Aetna Better Health of CA","Aetna/CVS",1,"20862","21096",1,1,0,"CVS Health Corporation","Aetna Better Health of CA"
"California","CA",2020,"Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego County",15927,301,16228,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,"23302","23591",1,1,0,"United Healthcare","UnitedHealthcare Community Plan"
"California","CA",2020,"Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group Partnership Plan/San Diego","San Diego County",241338,16666,258004,"Community Health Group","Community Health Group",NA,1,"301731","304099",1,1,0,"Community Health Group","Community Health Group"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Sutter SeniorCare PACE/Sacramento","Sacramento County",109,323,432,"Sutter Valley Hospitals",NA,NA,0,"495","501",1,1,0,"Sutter Health","Sutter Health"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Center for Elders Independence/Alameda","Alameda County",127,588,715,"Center for Elders Independence",NA,NA,0,"820","852",1,1,0,"Center for Elders Independence","Center for Elders Independence"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",845,2029,2874,"AltaMed Health Services Corporation",NA,NA,0,"3347","3379",1,1,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation"
NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Center for Elders Independence/Contra Costa","Contra Costa County",26,75,101,"Center for Elders Independence",NA,NA,0,"126","137",1,1,0,"Center for Elders Independence","Center for Elders Independence"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/San Francisco","San Francisco County",120,870,990,"On Lok Lifeways",NA,NA,0,"1126","1135",1,1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/Alameda","Alameda County",109,163,272,"On Lok Lifeways",NA,NA,0,"322","322",1,1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","St. Paul's PACE/San Diego","San Diego County",245,763,1008,"Community Eldercare of San Diego",NA,NA,0,"1217","1249",1,1,0,"Community Eldercare of San Diego","Community Eldercare of San Diego"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/Santa Clara","Santa Clara County",96,232,328,"On Lok Lifeways",NA,NA,0,"385","389",1,1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","CalOptima PACE/Orange","Orange County",200,179,379,"CalOptima",NA,NA,0,"470","480",1,1,0,"CalOptima","CalOptima"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Brandman Centers for Senior Care/Los Angeles","Los Angeles County",48,212,260,"Brandman Centers for Senior Care",NA,NA,0,"314","325",1,1,0,"Los Angeles Jewish Health","Brandman Centers for Senior Care"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","InnovAge PACE/Riverside","Riverside County",56,189,245,"Total Longterm Care, Inc.",NA,NA,0,"366","380",1,1,0,"Innovage","InnovAge"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","InnovAge PACE/San Bernardino County","San Bernardino County",163,499,662,"Total Longterm Care, Inc.",NA,NA,0,"868","1080",1,1,0,"Innovage","InnovAge"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Redwood Coast Pace/Humboldt","Humboldt County",26,177,203,"Humboldt Senior Resource Center",NA,NA,0,"233","244",1,1,0,"Humboldt Senior Resource Center","Humboldt Senior Resource Center"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Central Valley PACE","Stanislaus County",0,0,0,"Golden Valley Health Centers",NA,NA,0,"1001","1082",1,NA,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Central Valley PACE","San Joaquin County",0,0,0,"Golden Valley Health Centers",NA,NA,0,"1001","1082",1,NA,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","San Diego PACE","San Diego County",462,617,1079,"San Diego PACE",NA,NA,0,"1386","1403",1,1,0,"San Ysidro Health","San Diego PACE"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Stockton PACE/San Joaquin","San Joaquin County",64,113,177,"Welbe Health",NA,NA,0,"252","282",1,1,0,"Welbe Health","Welbe Health"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Stockton PACE/Stanislaus","Stanislaus County",6,12,18,"Welbe Health",NA,NA,0,"Less than 100","Less than 100",1,1,0,"Welbe Health","Welbe Health"
"California","CA",2020,"Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/San Diego","San Diego County",56867,11216,68083,"Centene Corporation","Health Net","Centene",1,"84287","85070",1,1,0,"Centene","Health Net"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Gary and Mary West PACE of Northern San Diego","San Diego County",15,61,76,"West Health",NA,NA,0,"131","134",1,1,0,"West Health","West Health"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Family Health Centers of San Diego","San Diego County",25,26,51,"Family Health Centers of San Diego",NA,NA,0,"Less than 100","101",1,1,0,"Family Health Centers of San Diego","Family Health Centers of San Diego"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Pacific PACE/Los Angeles","Los Angeles County",32,63,95,"Welbe Health",NA,NA,0,"154","155",1,1,0,"Welbe Health","Welbe Health"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Coastline PACE","Los Angeles County",4,13,17,"Welbe Health",NA,NA,0,"Less than 100","Less than 100",NA,1,0,"Welbe Health","Welbe Health"
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Bakersfield PACE","Tulare",0,0,0,"Innovative Integrated Health, Inc.",NA,NA,0,"Less than 100","Less than 100",NA,NA,0,"Innovative Integrated Health","Innovative Integrated Health Inc."
"California","CA",2020,"Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE)","Bakersfield PACE","Kern",46,16,62,"Innovative Integrated Health, Inc.",NA,NA,0,"Less than 100","121",NA,NA,0,"Innovative Integrated Health","Innovative Integrated Health Inc."
