"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","taf_enrollment","taf_enrollment_in_claims","chse_matched_next_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"97600","88441",1,0,"Central Arkansas Development Council","Central Arkansas Development"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"24439","23265",1,0,"Mid-Delta","Mid-Delta"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"48470","44598",NA,0,"Southwest Arkansas Planning & Development ","Southwest Arkansas Planning & Development "
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"141419","130544",1,0,"Area Agencies on Aging","Arkansas and Area Agency of Aging of Western Arkansas"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"89497","84055",1,0,"Area Agencies on Aging","Area Agency on Aging of Southeast"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"42265","39330",1,0,"Central Arkansas Development Council","Central Arkansas Development"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",469463,52789,522252,"Net Transportation",NA,"13224","12120",1,0,"Area Agencies on Aging","Arkansas and Area Agency of Aging of Western Arkansas"
"Arkansas","AR",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE","Statewide",0,0,0,"PACE",NA,"228","205",1,0,"St. Bernard's Healthcare","Southeastrans, Inc"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"163902","147614",NA,0,"Lefluer Tranportation of Texas","Lefluer Tranportation of Texas"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"93939","86438",1,0,"Area Agencies on Aging","Arkansas and Area Agency of Aging of Western Arkansas"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"202291","184422",1,0,"Southeastrans","Southeastrans, Inc"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"157072","146465",1,0,"Southeastrans","Southeastrans, Inc"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"160308","158888",1,0,"Area Agencies on Aging","Arkansas and Area Agency of Aging of Western Arkansas"
"Arkansas","AR",2017,"","Non-Emergency Medical Transportation","Non-Emergency Transportation (Non-Emergency Medical Transportation)","Net Transportation","Statewide",0,0,0,"Net Transportation",NA,"46390","45970",1,0,"Central Arkansas Development Council","Central Arkansas Development"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","AR",2017,"","Primary Care Case Management (PCCM)","Primary Care Case Management (Primary Care Case Management (PCCM))","Multiple Primary Care Providers","Statewide",0,0,0,"Multiple Primary Care Providers",NA,"512063","455492",1,0,"Multiple Primary Care Provider (PCCM)","AR State"
"Arkansas","AR",2017,"","Primary Care Case Management (PCCM)","Primary Care Case Management (Primary Care Case Management (PCCM))","Multiple Primary Care Providers","Statewide",469634,0,469634,"Multiple Primary Care Providers",NA,"77303","65917",1,0,"Multiple Primary Care Provider (PCCM)","AR State"
"Arkansas","AR",2017,"","Primary Care Case Management (PCCM)","Primary Care Case Management (Primary Care Case Management (PCCM))","Multiple Primary Care Providers","Statewide",0,0,0,"Multiple Primary Care Providers",NA,"38396","32932",1,0,"Multiple Primary Care Provider (PCCM)","AR State"
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,"Children's Rehabilitative Services (CRS)","19075","19423",0,0,"Children's Rehabilitative Services","Children's Rehabilitative Services"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,"Children's Rehabilitative Services (CRS)","238","243",0,0,"Children's Rehabilitative Services","Children's Rehabilitative Services"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan","Apache, Cochise, Coconino, Graham, Greenlee, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",482899,45086,527985,"United Healthcare","United Healthcare Community Plan","651845","691290",1,0,"United Healthcare","United Healthcare"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DCS/CMDP","Statewide",15800,0,15800,"Government Agency/Non-Profit Entity","Comprehensive Medical and Dental Plan CMDP","26290","29243",1,0,"Government Agency/Non-Profit Entity","DCS/CHP"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care1st Health Plan","Maricopa & Pima County",144994,7792,152786,"WellCare Health Plan","Care1st Health Plan","191889","252253",1,0,"WellCare","Care 1st Health Plan"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Phoenix Health Plan","Maricopa County",0,0,0,"Tenet Healthcare Corporation",NA,"50834","51297",NA,0,"Tenet","Phoenix Health Plan"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan","Maricopa & Pima Counties",353646,20173,373819,"Dignity Health and Carondelet Health Network","Mercy Care Plan","507726","517199",1,0,"Dignity Health and Carondelet Health Network","Mercy Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","University Family Care","Cochise, Gila, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, Yavapai & Yuma Counties",125463,10151,135614,"Banner Health","University Family Care","171595","225215",1,0,"Banner Health","Banner University Family Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Maricopa Health Plan","Maricopa County",0,0,0,"Government Agency/Non-Profit Entity",NA,"68422","68805",NA,0,"Government Agency/Non-Profit Entity","Maricopa Health Plan"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"103649","192947",0,0,"Centene","Arizona Complete Health - Complete Care Plan"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima & Pinal Counties",239338,14920,254258,"IASIS Healthcare LLC/Steward","Health Choice","332511","357374",1,0,"Blue Cross Blue Shield of Arizona","Health Choice Arizona"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 100","339",0,0,"Magellan","Molina Complete Care of Arizona"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Integrated Care","Apache, Coconino, Gila, Mohave, Navajo, & Yavapai Counties",0,0,0,"Health Choice Arizona/NARBHA","Health Choice Integrated Care","Less than 100","Less than 100",NA,0,"Blue Cross Blue Shield of Arizona","Health Choice Integrated Care"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"199124","32705",0,1,"Blue Cross Blue Shield of Arizona","Blue Cross Blue Shield of Arizona"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Choice Integrated Care","Apache, Coconino, Gila, Mohave, Navajo, & Yavapai Counties",3582,2088,5670,"Health Choice Arizona/NARBHA","Health Choice Integrated Care","6997","7263",1,0,"Blue Cross Blue Shield of Arizona","Health Choice Integrated Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Cenpatico Integrated Care","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, & Yuma Counties",0,0,0,"Centene Corporation/Banner University Family Care","Cenpatico Integrated Care","Less than 100","Less than 100",NA,0,"Centene","Cenpatico Integrated Care"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"527139","94279",0,0,"Centene","Cenpatico Integrated Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Cenpatico Integrated Care","Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, & Yuma Counties",8829,4519,13348,"Centene Corporation/Banner University Family Care","Cenpatico Integrated Care","15925","16378",1,0,"Centene","Cenpatico Integrated Care"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1108122","181098",0,0,"Dignity Health and Carondelet Health Network","Mercy Maricopa Integrated Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Maricopa Integrated Care","Maricopa County",13307,7739,21046,"Mercy Care Plan/Maricopa Integrated Health Systems(MIHS)","Mercy Maricopa Integrated Care","25489","26026",1,0,"Dignity Health and Carondelet Health Network","Mercy Maricopa Integrated Care"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Maricopa Integrated Care","Maricopa County",0,0,0,"Mercy Care Plan/Maricopa Integrated Health Systems(MIHS)","Mercy Maricopa Integrated Care","Less than 100",NA,NA,0,"Dignity Health and Carondelet Health Network","Mercy Maricopa Integrated Care"
NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 100",NA,NA,0,"Arkansas Department of Human Services","Arkansas Department of Human Services"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)","Statewide",23897,6827,30724,"Government Agency/Non-Profit Entity",NA,"32540","34632",1,0,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan (MLTSS)","Apache, Coconino, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",1424,9164,10588,"United Healthcare","United Healthcare Community Plan","15206","16214",1,0,"United Healthcare","United Healthcare"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Bridgeway Health Solution (MLTSS)","Cochise, Gila, Graham, Greenlee, Maricopa & Pinal Counties",751,4302,5053,"Centene Corporation",NA,"5896","6083",NA,0,"Centene","Bridgeway Health Solution (MLTSS)"
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan (MLTSS)","Maricopa & Pima Counties",2132,8913,11045,"Dignity Health and Carondelet Health Network","Mercy Care Plan","15004","16124",1,0,"Dignity Health and Carondelet Health Network","Mercy Care"
"Arizona","AZ",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6648","7165",1,0,"Banner Health","Banner University Family Care"
NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","AZ",2017,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Health Net Access","Maricopa County",56525,3297,59822,"Centene Corporation","Health Net Access",NA,NA,0,0,"Centene","Mercy Care"
"California","CA",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"963","981",1,0,"United Healthcare","UnitedHealthcare Community Plan"
"California","CA",2017,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"716","728",1,0,"United Healthcare","UnitedHealthcare Community Plan"
"California","CA",2017,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group/San Diego","San Diego County",266521,19178,285699,"Community Health Group","Community Health Group Partnership Plan","343352","346750",1,0,"Community Health Group","Community Health Group"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sutter SeniorCare PACE/Sacramento","Sacramento County",21,253,274,"Sutter Health",NA,"336","343",1,0,"Sutter Health","Sutter Health"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Alameda","Alameda County",78,557,635,"Center for Elders Independence",NA,"720","739",1,0,"Center for Elders Independence","Center for Elders Independence"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",623,1687,2310,"AltaMed Health Services Corporation",NA,"2796","2850",1,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation"
NA,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Contra Costa","Contra Costa County",14,60,74,"Center for Elders Independence",NA,"Less than 100","110",1,0,"Center for Elders Independence","Center for Elders Independence"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/San Francisco","San Francisco County",86,900,986,"On Lok Lifeways",NA,"1110","1119",1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda County",38,176,214,"On Lok Lifeways",NA,"254","259",1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","St. Paul's PACE/San Diego","San Diego County",125,493,618,"Community Eldercare of San Diego",NA,"801","818",1,0,"Community Eldercare of San Diego","Community Eldercare of San Diego"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Santa Clara","Santa Clara County",30,195,225,"On Loc Lifeways",NA,"255","258",1,0,"On Lok Lifeways","On Lok Lifeways"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","CalOptima PACE/Orange","Orange County",90,124,214,"CalOptima",NA,"276","286",1,0,"CalOptima","CalOptima"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Brandman Centers for Senior Care/Los Angeles","Los Angeles County",21,188,209,"Brandman Centers for Senior Care",NA,"254","259",1,0,"Los Angeles Jewish Health","Brandman Centers for Senior Care"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/Riverside","Riverside County",36,77,113,"InnovAge",NA,"161","164",1,0,"InnovAge","InnovAge"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/San Bernardino","San Bernardino County",87,226,313,"InnovAge",NA,"424","438",1,0,"InnovAge","InnovAge"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Redwood Coast PACE/Humboldt","Humboldt County",11,112,123,"Humboldt Senior Resource Center",NA,"156","158",1,0,"Humboldt Senior Resource Center","Humboldt Senior Resource Center"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Fresno PACE","Fresno County",121,215,336,"Central Valley Medical Services Corporation",NA,"453","454",1,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers"
"California","CA",2017,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","San Diego PACE","San Diego County",53,161,214,"San Diego PACE",NA,"298","301",1,0,"San Ysidro Health","San Diego PACE"
"California","CA",2017,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/San Diego","San Diego County",62201,15054,77255,"Centene Corporation","Health Net Community Solutions, Inc","100463","101881",1,0,"Centene","Health Net"
"California","CA",2017,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Kaiser/San Diego","San Diego County",46438,6473,52911,"Kaiser Permanente","Kaiser Permanente","62898","63671",1,0,"Kaiser Permanente","KP Cal LLC (Kaiser Permanente)"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Alpine","Alpine County",131,10,141,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","186","188",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Amador","Amador County",5215,188,5403,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","6671","6721",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Butte","Butte County",29806,1061,30867,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","38365","38659",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Calaveras","Calaveras County",3602,120,3722,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","5028","5089",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Colusa","Colusa County",4598,104,4702,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","5703","5775",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/El Dorado","El Dorado County",8705,210,8915,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","11747","11938",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Glenn","Glenn County",3904,119,4023,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","5135","5226",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Inyo","Inyo County",1895,40,1935,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","2565","2589",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Mariposa","Mariposa county",2832,99,2931,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","3704","3734",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Mono","Mono County",1707,32,1739,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","2171","2264",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Nevada","Nevada County",12083,463,12546,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","15128","15246",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Placer","Placer County",30274,833,31107,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","40346","40937",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Plumas","Plumas County",2565,114,2679,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","3172","3186",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Sierra","Sierra County",375,24,399,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","501","515",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
"California","CA",2017,"","Comprehensive MCO","Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Sutter","Sutter County",22089,607,22696,"Anthem Insurance Companies, Inc.","Anthem Blue Cross Partnership Plan","28108","28460",1,1,"Anthem","Anthem Blue Cross Partnership Plan"
