"state_cd","state","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan_flag","taf_enrollee_count","taf_n_enrollees_at_least_one_claim","cms_plan_unmatched","taf_plan_unmatched","matched_last_year","matched_next_year","matched","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","taf_no_enrollment_or_claims"
"AL","Alabama",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,829766,1001770,0,1,NA,1,0,0,"Alabama Coordinated Health Network","Blue Cross Blue Shield (dba Alahealth), Huntsville Hospital System, VIVA Health Plan",0
"AL","Alabama",2019,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Primary Care Case Management (PCCM)","Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network","Statewide",4157,23861,28018,"Senior Select Partners",NA,NA,0,29587,30425,0,0,1,1,1,0,"Senior Select Partners","Senior Select Partners",0
"AL","Alabama",2019,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Primary Care Case Management (PCCM)","Patient 1st (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",809137,0,809137,"Multiple primary care providers",NA,NA,0,768188,546082,0,0,1,NA,1,0,"Multiple primary care providers","Multiple primary care providers",0
"AL","Alabama",2019,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Other Prepaid Health Plan (PHP) (limited benefits)","Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Care Plan","Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington Counties",32463,0,32463,"Alabama Medicaid Agency",NA,NA,0,NA,NA,1,0,0,NA,0,0,"Alabama Medicaid Agency","Alabama Medicaid Agency",0
"AL","Alabama",2019,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Primary Care Case Management (PCCM)","Health Homes (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",253128,0,253128,"Multiple primary care providers",NA,NA,0,NA,NA,1,0,0,NA,0,0,"Multiple primary care providers","Multiple primary care providers",0
"AR","Arkansas",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Complete Health","Statewide",5,70,75,"PACE",NA,NA,0,78,81,0,0,1,1,1,0,"Complete Health","Complete Health with PACE",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties",127007,9794,136801,"Central Arkansas Development Council",NA,NA,0,172835,174779,0,0,1,1,1,0,"Central Arkansas Development Council","Central Arkansas Development",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",70777,7027,77804,"Area Agency on Aging of Southeast Arkansas",NA,NA,0,98302,99544,0,0,1,1,1,0,"Area Agencies on Aging","Area Agency on Aging of Southeast",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Total Life Healthcare","Statewide",8,250,258,"PACE",NA,NA,0,270,274,0,0,1,1,1,0,"St. Bernard's Healthcare","Southeastrans, Inc",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,1,1,NA,0,0,"Area Agencies on Aging","Area Agencies on Aging",0
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,139358,140841,0,0,1,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,165254,166744,0,0,1,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas","Statewide",272677,27952,300629,"Delta Dental",NA,NA,0,369479,373768,0,0,1,1,1,0,"Delta Dental","Delta Dental of Arkansas",0
"AR","Arkansas",2019,"","Dental only (PAHP)","Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental","Statewide",254785,26364,281149,"Managed Care of North America (MCNA), Inc.",NA,NA,0,348345,352426,0,0,1,1,1,0,"Managed Care of North America, Inc.","MCNA Dental",0
"AR","Arkansas",2019,"","Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions","Statewide",16654,1701,18355,"Beacon","Empower Healthcare Solutions","Anthem",1,24199,23057,0,0,1,1,1,0,"Beacon","Empower Healthcare Solutions",0
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8062,NA,0,1,1,NA,0,0,"Forever Care","Forever Care",0
"AR","Arkansas",2019,"","Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Arkansas Total Care","Statewide",10725,1181,11906,"Centene Corporation","Arkansas Total Care","Centene",1,15489,14792,0,0,1,1,1,0,"Centene","Arkansas Total Care",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Comprehensive MCO + MLTSS","Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Summit Community Care","Statewide",12011,2964,14975,"Anthem Insurance Companies, Inc.","Summit Community Care","Anthem",1,19500,18901,0,0,1,1,1,0,"Anthem","Summit Community Care",0
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,126308,124177,0,1,NA,NA,0,0,"Medical Transportation Management","Medical Transportation Management",0
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66322,65347,0,1,NA,NA,0,0,"Medical Transportation Management","Medical Transportation Management",0
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,109613,108344,0,1,NA,NA,0,0,"Medical Transportation Management","Medical Transportation Management",0
"AR","Arkansas",2019,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137918,135778,0,1,NA,NA,0,0,"Medical Transportation Management","Medical Transportation Management",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR","Arkansas",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","Pace of the Ozarks","Statewide",1,30,31,"PACE",NA,NA,0,31,31,0,0,NA,1,1,0,"Washington Regional Medical Center","Southeastrans, Inc",0
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",418042,30654,448696,"Southeasttrans",NA,NA,0,83406,84237,0,0,NA,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,135677,136920,0,0,NA,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR","Arkansas",2019,"","Non-Emergency Medical Transportation","Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Southeasttrans","Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,"Southeasttrans",NA,NA,0,179149,181141,0,0,NA,1,1,0,"Southeastrans","Southeastrans, Inc",0
"AR","Arkansas",2019,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",0,0,0,"Multiple primary care providers",NA,NA,0,471825,439049,0,0,1,1,1,0,"Multiple primary care providers","AR State",0
"AR","Arkansas",2019,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",414584,2227,416811,"Multiple primary care providers",NA,NA,0,75357,66629,0,0,1,1,1,0,"Multiple primary care providers","AR State",0
"AR","Arkansas",2019,"","Primary Care Case Management (PCCM)","Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers","Statewide",0,0,0,"Multiple primary care providers",NA,NA,0,28497,25707,0,0,1,1,1,0,"Multiple primary care providers","AR State",0
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima and Pinal Counties",327817,30719,358536,"United Healthcare","United Healthcare Plan","UnitedHealth Group",1,451571,453335,0,0,1,1,1,0,"United Healthcare","United Healthcare",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DCS/CMDP","Statewide",13154,1,13155,"Government Agency/Non-Profit Entity","DCS/CMDP","",1,22283,22847,0,0,1,1,1,0,"Government Agency/Non-Profit Entity","DCS/CHP",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal and Yavapai Counties",160492,12898,173390,"WellCare","Care1st Health Plan","WellCare",1,216461,217239,0,0,1,1,1,0,"WellCare","Care 1st Health Plan",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa and Pinal Counties",304633,13551,318184,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,1202123,501839,0,0,1,1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham/Greenlee*, LaPaz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties",177446,15984,193430,"Banner Health","Banner University Family Care","",1,262027,263424,0,0,1,1,1,0,"Banner Health","Banner University Family Care",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham/Greenlee*, LaPaz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties",175396,16443,191839,"Centene Corporation","Arizona Complete Health - Complete Care","Centene",1,698114,331538,0,0,0,1,1,0,"Centene","Arizona Complete Health - Complete Care Plan",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health- Complete Care Plan SMI","Cochise, Graham/Greenlee*, LaPaz, Pima, Pinal, Santa Cruz and Yuma Counties",13409,4351,17760,"Centene Corporation","Arizona Complete Health - Complete Care","Centene",1,NA,NA,0,0,0,1,1,0,"Centene","Arizona Complete Health - Complete Care Plan",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Steward Health Choice Arizona SMI","Apache, Coconino, Gila, Mohave, Navajo and Yavapai Counties",5791,2072,7863,"Steward Healthcare System, LLC","Steward Health Choice Arizona","Steward Health Care System",1,439427,343195,0,0,1,1,1,0,"Steward Health Care System","Health Choice Arizona",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Steward Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties",187899,14163,202062,"Steward Healthcare System, LLC","Steward Health Choice Arizona","Steward Health Care System",1,NA,NA,0,0,1,1,1,0,"Steward Health Care System","Health Choice Arizona",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Magellan Complete Care","Gila, Maricopa and Pinal Counties",11445,477,11922,"Magellan Health Services of Arizona","Magellan Complete Care","Magellan Health",1,27420,27714,0,0,0,1,1,0,"Magellan","Molina Complete Care of Arizona",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)","Statewide",21849,12131,33980,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities","",1,36191,36325,0,0,1,1,1,0,"Government Agency/Non-Profit Entity","DES/Division of Developmental Disabilities",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Heathcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, Yavapai Counties",1251,8329,9580,"United Healthcare","United Healthcare Plan","UnitedHealth Group",1,12557,12978,0,0,1,1,1,0,"United Healthcare","United Healthcare",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care (MLTSS)","Gila, Maricopa, Pima and Pinal Counties",2464,10176,12640,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,15658,16067,0,0,1,1,1,0,"Dignity Health and Carondelet Health Network","Mercy Care",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham/Greenlee*, La Paz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties",940,5643,6583,"Banner Health","Banner University Family Care","",1,8693,9049,0,0,1,1,1,0,"Banner Health","Banner University Family Care",0
"AZ","Arizona",2019,"","Comprehensive MCO + MLTSS","Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan - SMI","Maricopa County",22448,7256,29704,"Dignity Health and Carondelet Health Network","Mercy Care Plan","Aetna/CVS",1,NA,NA,1,0,0,NA,0,0,"Dignity Health and Carondelet Health Network","Mercy Care",0
"CA","California",2019,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento County",7227,170,7397,"Aetna Medicaid","Aetna Better Health of CA","Aetna/CVS",1,12749,13095,0,0,1,1,1,0,"CVS Health Corporation","Aetna Better Health of CA",0
"CA","California",2019,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego County",9667,151,9818,"Aetna Medicaid","Aetna Better Health of CA","Aetna/CVS",1,15991,16311,0,0,1,1,1,0,"CVS Health Corporation","Aetna Better Health of CA",0
"CA","California",2019,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego County",10913,280,11193,"UnitedHealthcare","United Healthcare Plan","UnitedHealth Group",1,17512,17819,0,0,1,1,1,0,"United Healthcare","UnitedHealthcare Community Plan",0
"CA","California",2019,"","Comprehensive MCO + MLTSS","Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group Partnership Plan/San Diego","San Diego County",236806,19655,256461,"Community Health Group","Community Health Group","",1,305872,310079,0,0,1,1,1,0,"Community Health Group","Community Health Group",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sutter SeniorCare PACE/Sacramento","Sacramento County",51,327,378,"Sutter Health",NA,NA,0,471,479,0,0,1,1,1,0,"Sutter Health","Sutter Health",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Alameda","Alameda County",76,588,664,"Center for Elders Independence",NA,NA,0,794,831,0,0,1,1,1,0,"Center for Elders Independence","Center for Elders Independence",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",629,1987,2616,"AltaMed Health Services Corporation",NA,NA,0,3147,3208,0,0,1,1,1,0,"AltaMed Health Services Corporation","AltaMed Health Services Corporation",0
"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Contra Costa","Contra Costa County",20,78,98,"Center for Elders Independence",NA,NA,0,125,144,0,0,1,1,1,0,"Center for Elders Independence","Center for Elders Independence",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/San Francisco","San Francisco County",85,912,997,"On Lok Lifeways",NA,NA,0,1152,1155,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda County",64,214,278,"On Lok Lifeways",NA,NA,0,319,321,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","St. Paul's PACE/San Diego","San Diego County",175,710,885,"Community Eldercare of San Diego",NA,NA,0,1102,1142,0,0,1,1,1,0,"Community Eldercare of San Diego","Community Eldercare of San Diego",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Santa Clara","Santa Clara County",54,246,300,"On Lok Lifeways",NA,NA,0,376,381,0,0,1,1,1,0,"On Lok Lifeways","On Lok Lifeways",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","CalOptima PACE/Orange","Orange County",157,178,335,"CalOptima",NA,NA,0,468,489,0,0,1,1,1,0,"CalOptima","CalOptima",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Brandman Centers for Senior Care/Los Angeles","Los Angeles County",30,214,244,"Brandman Centers for Senior Care",NA,NA,0,306,315,0,0,1,1,1,0,"Los Angeles Jewish Health","Brandman Centers for Senior Care",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/Riverside","Riverside County",35,156,191,"InnovAge",NA,NA,0,281,284,0,0,1,1,1,0,"Innovage","InnovAge",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/San Bernardino County","San Bernardino County",108,422,530,"InnovAge",NA,NA,0,756,799,0,0,1,1,1,0,"Innovage","InnovAge",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Redwood Coast Pace/Humboldt","Humboldt County",15,156,171,"Humboldt Senior Resource Center",NA,NA,0,211,221,0,0,1,1,1,0,"Humboldt Senior Resource Center","Humboldt Senior Resource Center",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Fresno PACE","Fresno County",260,407,667,"Central Valley Medical Services Corporation",NA,NA,0,840,844,0,0,1,1,1,0,"Central Valley Medical Services Corporation","Golden Valley Health Centers",0
"CA","California",2019,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","San Diego PACE","San Diego County",140,374,514,"San Diego PACE",NA,NA,0,750,759,0,0,1,1,1,0,"San Ysidro Health","San Diego PACE",0
