state_cd,taf_mc_plan_id,state,cms_program_name,cms_plan_name,kff_mco_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,count,year,in_xwalk,chse_mco_name,chse_parent_firm,new_id_flag,cms_plan_type
AR,*223658727,Arkansas,PASSE (Comprehensive MCO + MLTSS),Arkansas Total Care,Arkansas Total Care,Statewide,"16,482",1749,"18,231",Centene,ARKANSAS TOTAL CARE,18349,18460,1,2022,1,Arkansas Total Care,Centene,0,Comprehensive MCO + MLTSS
AR,*224446727,Arkansas,PASSE (Comprehensive MCO + MLTSS),Summit Community Care,Summit Community Care,Statewide,"18,035",3092,"21,127",Anthem,SUMMIT,19917,20013,1,2022,1,Summit Community Care,Anthem,0,Comprehensive MCO + MLTSS
AR,*230797093,Arkansas,Program of All-Inclusive Care for the Elderly (PACE),PACE,"","Craighead County, Lawrence (72433, 72465, 72476), Cross (72324, 72373, 72387, 72396), Mississippi (72315, 72319, 72438, 72442), Greene (72450), Poinsett (72432, 72354, 72365, 72472), Randolph (72455), Faulkner (72032, 72034, 72106, 72173), Lonoke (72023, 72046, 72083, 72086), Saline (72002, 72011, 72015, 72019, 72022, 72065, 72103), Pulaksi (72076, 72120, 72113, 72135, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72114, 72116, 72117, 72118, 72119, 72142), Benton (72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761), Madison (72738, 72740, 72773), Washington (72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959)",0,0,0,N/A,WASHINGTON REGIONAL MEDICORP,129,139,1,2022,1,Pace of the Ozarks,Washington Regional Medical Center,0,Program of All-Inclusive Care for the Elderly (PACE)
AR,*231124715,Arkansas,Non-Emergency Medical Transportation (NEMT),"Southeast Trans, Inc.","",Statewide,"726,731",53127,"779,858","Southeast Trans, Inc.",SOUTHEASTRANS INC,95794,96478,1,2022,1,"Southeastrans, Inc",Southeastrans,0,Non-Emergency Medical Transportation
AR,*231126715,Arkansas,Non-Emergency Medical Transportation (NEMT),"Southeast Trans, Inc.","",Statewide,0,0,0,"Southeast Trans, Inc.",SOUTHEASTRANS INC,152145,153043,1,2022,1,"Southeastrans, Inc",Southeastrans,0,Non-Emergency Medical Transportation
AR,*231127715,Arkansas,Non-Emergency Medical Transportation (NEMT),"Southeast Trans, Inc.","",Statewide,0,0,0,"Southeast Trans, Inc.",SOUTHEASTRANS INC,210606,211944,1,2022,1,"Southeastrans, Inc",Southeastrans,0,Non-Emergency Medical Transportation
AR,*269570727,Arkansas,PASSE (Comprehensive MCO + MLTSS),CareSource,CareSource,Statewide,"1,637",127,"1,764",CareSource,CARESOURCE,2896,2907,1,2022,1,CareSource,CareSource,1,Comprehensive MCO + MLTSS
AR,*PCCM001,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCCM PHYSICIAN,468924,471480,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCCM002,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,"769,901",153050,"922,951",AR State,PCCM FQHC,82421,82748,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCCM003,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCCM PCP GROUP,25177,25345,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCCM004,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCCM NURSE PRACTITIONER,4002,3999,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCMH001,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCMH PHYSICIAN,14138,14155,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCMH002,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCMH PHYSICIANS GROUP,323635,324046,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCMH003,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCMH RURAL HEALTH,39616,39701,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AR,*PCMH004,Arkansas,PCCM (Primary Care Case Management (PCCM)),Primary Care Case Management,"",Statewide,0,0,0,AR State,PCMH PCP GROUP,23746,23803,1,2022,1,Multiple Primary Care Providers,AR State,0,Primary Care Case Management (PCCM)
AZ,"",Arizona,Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Mercy Care RBHA (SMI),Mercy Care,Maricopa County,"27,696",8025,"35,721",Dignity Health and Carondelet Health Network,"",,,1,2022,1,Mercy Care,Mercy Care,1,Behavioral Health Organization (BHO) only (PIHP and/or PAHP)
AZ,"",Arizona,Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Arizona Complete Health- Complete Care Plan RBHA (SMI),Arizona Complete Health - Complete Care Plan,"Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma Counties","14,611",4765,"19,376",Centene Corporation,"",,,1,2022,1,Arizona Complete Health,Centene,1,Behavioral Health Organization (BHO) only (PIHP and/or PAHP)
AZ,"",Arizona,Arizona Health Care Cost Containment System (SMI) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Health Choice Arizona RBHA (SMI),Health Choice Arizona,"Apache, Coconino, Gila, Mohave, Navajo, Pinal, and Yavapai Counties","6,447",2322,"8,769",Blue Cross Blue Shield of Arizona,"",,,1,2022,1,Health Choice Arizona,Blue Cross Blue Shield of Arizona,1,Behavioral Health Organization (BHO) only (PIHP and/or PAHP)
AZ,*010158,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare,United Healthcare,"Gila, Maricopa, Pima, and Pinal Counties","427,757",38705,"466,462",United Healthcare,UNITEDHEALTHCARE,510740,512862,1,2022,1,United Healthcare,United Healthcare,0,Comprehensive MCO + MLTSS
AZ,*010166,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DCS/CHP,DCS/CHP,Statewide,"12,914",0,"12,914",Government Agency/Non-Profit Entity,DCS/CHP,19707,19873,1,2022,1,DCS/CHP,Government Agency/Non-Profit Entity,0,Comprehensive MCO + MLTSS
AZ,*010254,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Care 1st,Care 1st Health Plan,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima, Pinal, and Yavapai Counties","75,623",8616,"84,239",WellCare/Centene Corporation,CARE1ST HEALTH PLAN,298159,185284,1,2022,1,Care 1st Health Plan,Centene,0,Comprehensive MCO + MLTSS
AZ,*010306,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care,Mercy Care,"Gila, Maricopa, and Pinal Counties","383,489",22289,"405,778",Dignity Health and Carondelet Health Network,MERCY CARE PLAN,1521822,563080,1,2022,1,Mercy Care,Mercy Care,0,Comprehensive MCO + MLTSS
AZ,*010314,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Banner University Family Care,Banner University Family Care,"Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties","276,018",22511,"298,529",Banner Health,BANNER UNIV FAMILY CARE,332431,333869,1,2022,1,Banner University Family Care,Banner Health,0,Comprehensive MCO + MLTSS
AZ,*010422,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Arizona Complete Health- Complete Care Plan,Arizona Complete Health - Complete Care Plan,"Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties","358,315",28193,"386,508",Centene Corporation,AZ COMPLETE HEALTH CARE,843416,505884,1,2022,1,Arizona Complete Health,Centene,0,Comprehensive MCO + MLTSS
AZ,*010497,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona,Health Choice Arizona,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties","218,577",17461,"236,038",Blue Cross Blue Shield of Arizona,HEALTH CHOICE ARIZONA,305029,359603,1,2022,1,Health Choice Arizona,Blue Cross Blue Shield of Arizona,0,Comprehensive MCO + MLTSS
AZ,*010500,Arizona,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Molina Complete Care of Arizona,Molina Complete Care of Arizona,"Gila, Maricopa, and Pinal Counties","46,056",2194,"48,250",Molina Complete Care of Arizona,MOLINA HEALTHCARE,56143,56463,1,2022,1,Molina Complete Care of Arizona,Molina,0,Comprehensive MCO + MLTSS
AZ,*110007,Arizona,Arizona Health Care Cost Containment System (MLTSS only- PIHP and/or PAHP),DES/Division of Developmental Disabilities (MLTSS),DES/Division of Developmental Disabilities,Statewide,"30,192",8190,"38,382",Government Agency/Non-Profit Entity,LTC DD DES,40458,40514,1,2022,1,DES/Division of Developmental Disabilities,Government Agency/Non-Profit Entity,0,MLTSS only (PIHP and/or PAHP)
AZ,*110050,Arizona,Arizona Health Care Cost Containment System (MLTSS only- PIHP and/or PAHP),United Healthcare (MLTSS),United Healthcare,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties","1,240",7200,"8,440",United Healthcare,UNITEDHEALTHCARE LTC,11109,11509,1,2022,1,United Healthcare,United Healthcare,0,MLTSS only (PIHP and/or PAHP)
AZ,*110306,Arizona,Arizona Health Care Cost Containment System (MLTSS only- PIHP and/or PAHP),Mercy Care (MLTSS),Mercy Care,"Gila, Maricopa, Pima, and Pinal Counties","2,317",8506,"10,823",Dignity Health and Carondelet Health Network,MERCY CARE PLAN - LTC,13123,13479,1,2022,1,Mercy Care,Mercy Care,0,MLTSS only (PIHP and/or PAHP)
AZ,*110313,Arizona,Arizona Health Care Cost Containment System (MLTSS only- PIHP and/or PAHP),Banner University Family Care (MLTSS),Banner University Family Care,"Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma Counties","1,098",5568,"6,666",Banner Health,BANNER - UNIVERSITY LTC,8666,8939,1,2022,1,Banner University Family Care,Banner Health,0,MLTSS only (PIHP and/or PAHP)
CA,"",California,Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE/El Dorado,"",El Dorado,0,0,0,InnoAge California,"",,,1,2022,1,InnovAge,InnovAge,1,Program of All-Inclusive Care for the Elderly (PACE)
CA,"",California,Program of All-Inclusive Care for the Elderly (PACE),ConcertoHealth PACE of Los Angeles,"",Los Angeles,0,0,0,ConcertoHealth PACE,"",,,1,2022,1,InnovAge,InnovAge,1,Program of All-Inclusive Care for the Elderly (PACE)
CA,*015,California,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Aetna Better Health- Sacramento,Aetna Better Health,Sacramento,"20,286",400,"20,686",Aetna - Sacramento,AETNA BETTER HEALTH OF CALIFORNIA,25537,26131,1,2022,1,Aetna Better Health of CA,CVS Health Corporation,0,Comprehensive MCO + MLTSS
CA,*016,California,GMC Model (Comprehensive MCO + MLTSS),Aetna Better Health-San Diego,Aetna Better Health,San Diego,"26,547",527,"27,074",Aetna - San Diego,AETNA BETTER HEALTH OF CALIFORNIA,32975,33375,1,2022,1,Aetna Better Health of CA,CVS Health Corporation,0,Comprehensive MCO + MLTSS
CA,*018,California,GMC Model (Comprehensive MCO + MLTSS),United Health Care- San Diego,UnitedHealthcare Community Plan,San Diego,"29,815",948,"30,763",United Health Care- San Diego,UHC COMMUNITY PLAN OF CA- SD,33735,34166,1,2022,1,UnitedHealthcare Community Plan,United Healthcare,0,Comprehensive MCO + MLTSS
CA,*029,California,GMC Model (Comprehensive MCO + MLTSS),Community Health Group- San Diego,Community Health Group,San Diego,"302,929",21052,"323,981",CHG - San Diego,COMMUNITY HEALTH GROUP PARTNERSHIP PLAN,354482,357441,1,2022,1,Community Health Group,Community Health Group,0,Comprehensive MCO + MLTSS
CA,*030,California,Program of All-Inclusive Care for the Elderly (PACE),Central Valley PACE/San Joaquin,"",San Joaquin,1,1,2,Golden Valley Health Centers,CENTRAL VALLEY PACE (SAN JOAQUIN),8,8,1,2022,1,Golden Valley Health Centers,Central Valley Medical Services Corporation,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*031,California,Program of All-Inclusive Care for the Elderly (PACE),Central Valley PACE/Stanislaus,"",Stanislaus,83,83,166,Golden Valley Health Centers,CENTRAL VALLEY PACE (STANISLAUS),234,239,1,2022,1,Golden Valley Health Centers,Central Valley Medical Services Corporation,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*032,California,Program of All-Inclusive Care for the Elderly (PACE),Sequioa PACE/Fresno,"",Fresno,192,182,374,Welbe Health,SEQUOIA PACE (FRESNO),540,550,1,2022,1,Welbe Health,Welbe Health,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*033,California,Program of All-Inclusive Care for the Elderly (PACE),Sequioa PACE/Kings,"",Kings,2,2,4,Welbe Health,SEQUOIA PACE (KINGS),5,5,1,2022,1,Welbe Health,Welbe Health,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*034,California,Program of All-Inclusive Care for the Elderly (PACE),Sequioa PACE/Tulare,"",Tulare,3,9,12,Welbe Health,SEQUOIA PACE (TULARE),17,17,1,2022,1,Welbe Health,Welbe Health,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*035,California,Program of All-Inclusive Care for the Elderly (PACE),Sequioa PACE/Madera,"",Madera,2,9,11,Welbe Health,SEQUOIA PACE (MADERA),17,17,1,2022,1,Welbe Health,Welbe Health,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*036,California,Program of All-Inclusive Care for the Elderly (PACE),Neighborhood Healthcare PACE/Riverside,"",Riverside,13,39,52,Neighborhood Healthcare PACE,NEIGHBORHOOD HEALTHCARE PACE,99,97,1,2022,1,Neighborhood Healthcare PACE,Neighborhealth,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*037,California,Program of All-Inclusive Care for the Elderly (PACE),Neighborhood Healthcare PACE/San Bernardino,"",San Bernardino,7,26,33,Neighborhood Healthcare PACE,NEIGHBORHOOD HEALTHCARE PACE,50,50,1,2022,1,Neighborhood Healthcare PACE,Neighborhealth,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*038,California,Program of All-Inclusive Care for the Elderly (PACE),North East Medical Services PACE,"",San Francisco,8,61,69,North East Medical Services,NORTH EAST MEDICAL SERVICES,94,119,1,2022,1,North East Medical Services,North East Medical Services,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*039,California,Program of All-Inclusive Care for the Elderly (PACE),AltaMed Senior Buena Care/Orange,"",Orange,117,98,215,AltaMed Health Services Corporation,ALTAMED HEALTH PLAN - ORANGE,341,345,1,2022,1,AltaMed Health Services Corporation,AltaMed Health Services Corporation,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*040,California,Program of All-Inclusive Care for the Elderly (PACE),Innovative Integrated Health PACE/Orange,"",Orange,13,15,28,Innovative Integrated Health PACE,IIH-OC PACE - ORANGE,50,51,1,2022,1,Innovative Integrated Health Inc.,Innovative Integrated Health Inc.,1,Program of All-Inclusive Care for the Elderly (PACE)
CA,*041,California,Program of All-Inclusive Care for the Elderly (PACE),"Innovative Integrated Health, Inc./Fresno","",Fresno,716,409,"1,125","Innovative Integrated Health, Inc.","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""INNOVATIVE INTEGRATED HEALTH, INC. - FRESNO""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""                                     ",1289,1470,1,2022,1,Innovative Integrated Health Inc.,Innovative Integrated Health Inc.,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*042,California,Program of All-Inclusive Care for the Elderly (PACE),"Innovative Integrated Health, Inc./Tulare","",Tulare,0,0,0,"Innovative Integrated Health, Inc.",IIH-BAKERSFIELD PACE - TULARE,1,1,1,2022,1,Innovative Integrated Health Inc.,Innovative Integrated Health Inc.,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*043,California,Program of All-Inclusive Care for the Elderly (PACE),"Innovative Integrated Health, Inc./Kern","",Kern,178,169,347,"043-IIH, Inc. - dba Bakersfield PACE/Kern",IIH-BAKERSFIELD PACE - KERN,499,857,1,2022,1,Innovative Integrated Health Inc.,Innovative Integrated Health Inc.,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*047,California,"","","","","",,"","",CONCERTOHEALTH PACE - LA,9,9,1,2022,1,Innovative Integrated Health Inc.,Innovative Integrated Health Inc.,1,""
CA,*050,California,Program of All-Inclusive Care for the Elderly (PACE),Sutter SeniorCare PACE/Sacramento,"",Sacramento,117,334,451,Sutter Health,SUTTER SENIOR CARE,514,524,1,2022,1,Sutter Health,Sutter Health,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*051,California,Program of All-Inclusive Care for the Elderly (PACE),Center for Elders Independence/Alameda,"",Alameda,174,618,792,Center for Elders Independence,CENTER FOR ELDERS INDEPENDENCE,960,1006,1,2022,1,Center for Elders Independence,Center for Elders Independence,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*052,California,Program of All-Inclusive Care for the Elderly (PACE),AltaMed Senior Buenacare/LA,"",Los Angeles,"1,293",2361,"3,654",AltaMed Health Services Corporation,ALTA MED SENIOR BUENACARE,4486,4516,1,2022,1,AltaMed Health Services Corporation,AltaMed Health Services Corporation,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*054,California,Program of All-Inclusive Care for the Elderly (PACE),Center for Elders Independence/Contra Costa,"",Contra Costa,46,158,204,Center for Elders Independence,CENTER FOR ELDERS INDEPENDENCE (C COSTA),282,305,1,2022,1,Center for Elders Independence,Center for Elders Independence,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*055,California,Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/San Francisco,"",San Francisco,128,908,"1,036",On Lok Lifeways,ON LOK LIFEWAYS (SAN FRANCISCO),1142,1155,1,2022,1,On Lok Lifeways,On Lok Lifeways,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*056,California,Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/Alameda,"",Alameda,142,188,330,On Lok Lifeways,ON LOK LIFEWAYS (ALAMEDA),374,380,1,2022,1,On Lok Lifeways,On Lok Lifeways,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*057,California,Program of All-Inclusive Care for the Elderly (PACE),St. Paul's PACE,"",San Diego,339,925,"1,264",Community Eldercare of San Diego,ST. PAUL'S PACE,1479,1496,1,2022,1,Community Eldercare of San Diego,Community Eldercare of San Diego,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*058,California,Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/Santa Clara,"",Santa Clara,128,238,366,On Lok Lifeways,ON LOK LIFEWAYS (SANTA CLARA),452,459,1,2022,1,On Lok Lifeways,On Lok Lifeways,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*059,California,Program of All-Inclusive Care for the Elderly (PACE),CalOPTIMA PACE/Orange,"",Orange,235,203,438,CalOptima,CALOPTIMA PACE,520,524,1,2022,1,CalOptima,CalOptima,0,Program of All-Inclusive Care for the Elderly (PACE)
CA,*060,California,Program of All-Inclusive Care for the Elderly (PACE),Brandman Centers for Senior Care/Los Angeles,"",Los Angeles,91,217,308,Brandman Centers for Senior Care,BRANDMAN CENTERS FOR SENIOR CARE,378,390,1,2022,1,Brandman Centers for Senior Care,Los Angeles Jewish Health,0,Program of All-Inclusive Care for the Elderly (PACE)
