state,state_cd,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_id,taf_mc_plan_name,taf_mc_plan_type_cd,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,chse_mco_name,kff_parent_firm,chse_matched_last_year
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,469463,52789,522252,Net Transportation,"",0,*132847715,AREA AGENCY ON AGING OF,15,13224,12120,1,0,Area Agencies on Aging,Area Agency on Aging of Southeast Arkansas,,
Arkansas,AR,2017,"",Program of All-Inclusive Care for the Elderly (PACE),PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE,Statewide,0,0,0,PACE,"",0,*156033093,TOTAL LIFE HEALTHCARE INC,17,228,205,1,0,St. Bernard's Healthcare,St. Bernard's Healthcare,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*189857715,LEFLEUR TRANSPORTATION OF TEXAS,15,163902,147614,,0,Lefluer Tranportation of Texas,Lefluer Tranportation of Texas,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*194921715,AREA AGENCY ON AGING OF WESTERN,15,93939,86438,1,0,Area Agencies on Aging,Area Agency of Aging of Western Arkansas,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*195015715,"SOUTHEASTRANS, INC                                                                ",15,202291,184422,1,0,Southeastrans,"Southeastrans, Inc",,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*197468715,"SOUTHEASTRANS, INC                                                                ",15,157072,146465,1,0,Southeastrans,"Southeastrans, Inc",,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*220167715,AREA AGENCY ON AGING OF WEST,15,160308,158888,1,0,Area Agencies on Aging,Area Agency of Aging of Western Arkansas,,
Arkansas,AR,2017,"",Non-Emergency Medical Transportation,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,0,0,0,Net Transportation,"",0,*220828715,CENTRAL ARKANSAS DEVELOPMENTCOUN,15,46390,45970,1,0,Central Arkansas Development Council,Central Arkansas Development,,
Arkansas,AR,2017,"",Primary Care Case Management (PCCM),Primary Care Case Management (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,0,0,0,Multiple Primary Care Providers,"",0,*PCCM001,PCCM PHYSICIAN,2,512063,455492,1,0,AR State,Multiple Primary Care Providers,,
Arkansas,AR,2017,"",Primary Care Case Management (PCCM),Primary Care Case Management (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,469634,0,469634,Multiple Primary Care Providers,"",0,*PCCM002,PCCM FQHC,2,77303,65917,1,0,AR State,Multiple Primary Care Providers,,
Arkansas,AR,2017,"",Primary Care Case Management (PCCM),Primary Care Case Management (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,0,0,0,Multiple Primary Care Providers,"",0,*PCCM003,PCCM PCP GROUP,2,38396,32932,1,0,AR State,Multiple Primary Care Providers,,
Arizona,AZ,2017,"","","","","",,,,"",Children's Rehabilitative Services (CRS),1,*010115,CRS FULLY INTEGRATED,1,19075,19423,0,0,Children's Rehabilitative Services,Children's Rehabilitative Services,,
Arizona,AZ,2017,"","","","","",,,,"",Children's Rehabilitative Services (CRS),1,*010145,CRS PARTIAL ACUTE,1,238,243,0,0,Children's Rehabilitative Services,Children's Rehabilitative Services,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan,"Apache, Cochise, Coconino, Graham, Greenlee, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",482899,45086,527985,United Healthcare,United Healthcare Community Plan,1,*010158,UNITEDHEALTHCARE,1,651845,691290,1,0,United Healthcare,United Healthcare,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DCS/CMDP,Statewide,15800,0,15800,Government Agency/Non-Profit Entity,Comprehensive Medical and Dental Plan CMDP,1,*010166,DCS/CMDP,1,26290,29243,1,0,Government Agency/Non-Profit Entity,DCS/CHP,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Care1st Health Plan,Maricopa & Pima County,144994,7792,152786,WellCare Health Plan,Care1st Health Plan,1,*010254,CARE1ST HEALTH PLAN,1,191889,252253,1,0,WellCare,Care 1st Health Plan,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Phoenix Health Plan,Maricopa County,0,0,0,Tenet Healthcare Corporation,"",0,*010299,PHOENIX HEALTH PLAN,1,50834,51297,,0,Tenet,Phoenix Health Plan,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan,Maricopa & Pima Counties,353646,20173,373819,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,*010306,MERCY CARE PLAN,1,507726,517199,1,0,Mercy Care,Mercy Care,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),University Family Care,"Cochise, Gila, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, Yavapai & Yuma Counties",125463,10151,135614,Banner Health,University Family Care,1,*010314,BANNER UNIV FAMILY CARE,1,171595,225215,1,0,Banner Health,Banner University Family Care,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Maricopa Health Plan,Maricopa County,0,0,0,Government Agency/Non-Profit Entity,"",0,*010383,MARICOPA HEALTH PLAN,1,68422,68805,,0,Government Agency/Non-Profit Entity,Maricopa Health Plan,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*010422,AZ COMPLETE HEALTH CARE,1,103649,192947,0,0,Centene,Arizona Complete Health,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima & Pinal Counties",239338,14920,254258,IASIS Healthcare LLC/Steward,Health Choice,1,*010497,HEALTH CHOICE ARIZONA,1,332511,357374,1,0,Steward Health Care System,Health Choice Arizona,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*010500,MAGELLAN COMPLETE CARE,1,34,339,0,0,Magellan,Molina Complete Care of Arizona,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Integrated Care,"Apache, Coconino, Gila, Mohave, Navajo, & Yavapai Counties",0,0,0,Health Choice Arizona/NARBHA,Health Choice Integrated Care,1,*010700,HEALTH CHOICE INTEGRATED,1,1,11,,0,Steward Health Care System,Health Choice Integrated Care,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*010705,HEALTH CHOICE RBHA,1,199124,32705,0,1,Steward Health Care System,Health Choice Arizona,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Integrated Care,"Apache, Coconino, Gila, Mohave, Navajo, & Yavapai Counties",3582,2088,5670,Health Choice Arizona/NARBHA,Health Choice Integrated Care,1,*010715,HEALTH CHOICE INTEGRATED,1,6997,7263,1,0,Steward Health Care System,Health Choice Integrated Care,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Cenpatico Integrated Care,"Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, & Yuma Counties",0,0,0,Centene Corporation/Banner University Family Care,Cenpatico Integrated Care,1,*010725,CENPATICO INTEGRATED CARE,1,1,1,,0,Centene,Cenpatico Integrated Care,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*010730,CENPATICO RBHA,1,527139,94279,0,0,Centene,Cenpatico,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Cenpatico Integrated Care,"Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, & Yuma Counties",8829,4519,13348,Centene Corporation/Banner University Family Care,Cenpatico Integrated Care,1,*010735,CENPATICO INTEGRATED CARE,1,15925,16378,1,0,Centene,Cenpatico Integrated Care,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*010789,MERCY MARICOPA RBHA,1,1108122,181098,0,0,Mercy Care,Mercy Maricopa,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Maricopa Integrated Care,Maricopa County,13307,7739,21046,Mercy Care Plan/Maricopa Integrated Health Systems(MIHS),Mercy Maricopa Integrated Care,1,*010795,MERCY MARICOPA INTEGRATED,1,25489,26026,1,0,Mercy Care,Mercy Maricopa Integrated Care,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Maricopa Integrated Care,Maricopa County,0,0,0,Mercy Care Plan/Maricopa Integrated Health Systems(MIHS),Mercy Maricopa Integrated Care,1,*078999,MERCY MARICOPA INTEGRATED,1,2,,,0,Mercy Care,Mercy Maricopa Integrated Care,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*079999,DHS BEHAVIORAL HEALTH,1,7,,,0,Arkansas Department of Human Services,DHS Behavioral Health,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DES/Division of Developmental Disabilities (MLTSS),Statewide,23897,6827,30724,Government Agency/Non-Profit Entity,"",0,*110007,LTC DD DES,1,32540,34632,1,0,Government Agency/Non-Profit Entity,DES/Division of Developmental Disabilities,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare Plan (MLTSS),"Apache, Coconino, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",1424,9164,10588,United Healthcare,United Healthcare Community Plan,1,*110050,UNITEDHEALTHCARE LTC,1,15206,16214,1,0,United Healthcare,United Healthcare,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Bridgeway Health Solution (MLTSS),"Cochise, Gila, Graham, Greenlee, Maricopa & Pinal Counties",751,4302,5053,Centene Corporation,"",0,*110088,BRIDGEWAY HLTH SOLUTION-L,1,5896,6083,,0,Centene,Bridgeway Health Solution (MLTSS),,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan (MLTSS),Maricopa & Pima Counties,2132,8913,11045,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,*110306,MERCY CARE PLAN - LTC,1,15004,16124,1,0,Mercy Care,Mercy Care,,
Arizona,AZ,2017,"","","","","",,,,"","",0,*110313,BANNER - UNIVERSITY LTC,1,6648,7165,1,0,Banner Health,Banner University Family Care,,
Arizona,AZ,2017,"",Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Net Access,Maricopa County,56525,3297,59822,Centene Corporation,Health Net Access,1,"","",,,,0,0,Centene,Health Net Access,,
California,CA,2017,"","","","","",,,,"","",0,*017,UNITED HEALTH CARE,1,963,981,1,0,United Healthcare,UnitedHealthcare Community Plan,,
California,CA,2017,"","","","","",,,,"","",0,*018,UNITED HEALTH CARE,1,716,728,1,0,United Healthcare,UnitedHealthcare Community Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Community Health Group/San Diego,San Diego County,266521,19178,285699,Community Health Group,Community Health Group Partnership Plan,1,*029,COMMUNITY HEALTH GROUP PARTNERSHIP PLAN,1,343352,346750,1,0,Community Health Group,Community Health Group,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Sutter SeniorCare PACE/Sacramento,Sacramento County,21,253,274,Sutter Health,"",0,*050,SUTTER SENIOR CARE,17,336,343,1,0,Sutter Health,Sutter Health,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Center for Elders Independence/Alameda,Alameda County,78,557,635,Center for Elders Independence,"",0,*051,CENTER FOR ELDERS INDEPENDENCE,17,720,739,1,0,Center for Elders Independence,Center for Elders Independence,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),AltaMed Senior Buenacare/Los Angeles,Los Angeles County,623,1687,2310,AltaMed Health Services Corporation,"",0,*052,ALTA MED SENIOR BUENACARE,17,2796,2850,1,0,AltaMed Health Services Corporation,AltaMed Health Services Corporation,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Center for Elders Independence/Contra Costa,Contra Costa County,14,60,74,Center for Elders Independence,"",0,*054,CENTER FOR ELDERS INDEPENDENCE (C COSTA),17,90,110,1,0,Center for Elders Independence,Center for Elders Independence,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/San Francisco,San Francisco County,86,900,986,On Lok Lifeways,"",0,*055,ON LOK LIFEWAYS (SAN FRANCISCO),17,1110,1119,1,0,On Lok Lifeways,On Lok Lifeways,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/Alameda,Alameda County,38,176,214,On Lok Lifeways,"",0,*056,ON LOK LIFEWAYS (ALAMEDA),17,254,259,1,0,On Lok Lifeways,On Lok Lifeways,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),St. Paul's PACE/San Diego,San Diego County,125,493,618,Community Eldercare of San Diego,"",0,*057,ST. PAUL'S PACE,17,801,818,1,0,Community Eldercare of San Diego,Community Eldercare of San Diego,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/Santa Clara,Santa Clara County,30,195,225,On Loc Lifeways,"",0,*058,ON LOK LIFEWAYS (SANTA CLARA),17,255,258,1,0,On Lok Lifeways,On Lok Lifeways,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),CalOptima PACE/Orange,Orange County,90,124,214,CalOptima,"",0,*059,CALOPTIMA PACE,17,276,286,1,0,CalOptima,CalOptima,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Brandman Centers for Senior Care/Los Angeles,Los Angeles County,21,188,209,Brandman Centers for Senior Care,"",0,*060,BRANDMAN CENTERS FOR SENIOR CARE,17,254,259,1,0,Los Angeles Jewish Health,Brandman Centers for Senior Care,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge PACE/Riverside,Riverside County,36,77,113,InnovAge,"",0,*061,INNOVAGE (RIVERSIDE),17,161,164,1,0,InnovAge,InnovAge,,
California,CA,2017,"",Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge PACE/San Bernardino,San Bernardino County,87,226,313,InnovAge,"",0,*062,INNOVAGE (SAN BERNARDINO),17,424,438,1,0,InnovAge,InnovAge,,
