state_cd,taf_mc_plan_id,chse_mco_name,state,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_name,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,kff_parent_firm,chse_matched_last_year,chse_parent_firm_acquisition_date,chse_parent_firm_name_change_date
AR,*132845715,Area Agency on Aging of Southeast Arkansas,Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Area Agency on Aging of Southeast Arkansas,"Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties",73436,7038,80474,Area Agency on Aging of Southeast Arkansas,"",0,AREA AGENCY ON AGING OF SOUTHEAST,94032,93332,1,0,Area Agencies on Aging,"",1,,
AR,*156033093,St. Bernard's Healthcare,Arkansas,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Total Life Healthcare,"72324, 72373, 72387, 72396, 72401, 72416, 72450, 72433, 72465, 72476, 72315, 72319, 72438, 72442, 72354, 72365, 72432, 72472, 72455, 72476, and all zip codes in Craighead County",5,216,221,PACE,"",0,TOTAL LIFE HEALTHCARE INC,294,301,1,0,St. Bernard's Healthcare,"",1,,
AR,*195015715,"Southeastrans, Inc",Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,Southeasttrans,"",0,"SOUTHEASTRANS, INC                                                                ",136359,135295,1,0,Southeastrans,"",1,,
AR,*197468715,"Southeastrans, Inc",Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,Southeasttrans,"",0,"SOUTHEASTRANS, INC                                                                ",168318,166333,1,0,Southeastrans,"",1,,
AR,*221537727,Delta Dental of Arkansas,Arkansas,2020,,Dental only (PAHP),Arkansas Dental Managed Care (Dental only (PAHP)),Delta Dental of Arkansas,Statewide,286363,26682,313045,Delta Dental,"",0,DELTA DENTAL,365930,368367,1,0,Delta Dental,"",1,,
AR,*221739727,MCNA Dental,Arkansas,2020,,Dental only (PAHP),Arkansas Dental Managed Care (Dental only (PAHP)),Managed Care of North America (MCNA) Dental,Statewide,268157,26947,295104,"Managed Care of North America (MCNA), Inc.","",0,MCNA,344720,347212,1,0,United Healthcare,"",1,2020-11-19,
AR,*223649727,Empower Healthcare Solutions,Arkansas,2020,,Comprehensive MCO + MLTSS,Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS),Empower Healthcare Solutions,Statewide,15641,1669,17310,Beacon,Empower Healthcare Solutions,1,EMPOWER HEALTH SOLUTIONS,22073,22233,1,0,Arkansas Community Health Network|Arkansas Healthcare Alliance|Anthem|Independent Case Management|Statera|Woodruff Health Group,Anthem,1,2020-03-01,
AR,*223658727,Arkansas Total Care,Arkansas,2020,,Comprehensive MCO + MLTSS,Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS),Arkansas Total Care,Statewide,9762,1180,10942,Centene Corporation,Arkansas Total Care,1,ARKANSAS TOTAL CARE,15221,14106,1,0,Centene,Centene,1,,
AR,*224446727,Summit Community Care,Arkansas,2020,,Comprehensive MCO + MLTSS,Provider-Led Arkansas Shared Savings Entity (PASSE) Program (Comprehensive MCO + MLTSS),Summit Community Care,Statewide,11441,2901,14342,"Anthem Insurance Companies, Inc.",Summit Community Care,1,SUMMIT,18288,17443,1,0,Anthem,Anthem,1,,
AR,*230797093,Pace of the Ozarks,Arkansas,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Pace of the Ozarks,"72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761, 72738, 72740, 72773, 72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959",4,51,55,PACE,"",0,WASHINGTON REGIONAL MEDICORP,78,77,1,0,Washington Regional Medical Center,"",1,,
AR,*231124715,"Southeastrans, Inc",Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",552230,39550,591780,Southeasttrans,"",0,SOUTHEASTRANS INC,83210,82325,1,0,Southeastrans,"",1,,
AR,*231126715,"Southeastrans, Inc",Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,Southeasttrans,"",0,SOUTHEASTRANS INC,133419,132588,1,0,Southeastrans,"",1,,
AR,*231127715,"Southeastrans, Inc",Arkansas,2020,,Non-Emergency Medical Transportation,Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation),Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties",0,0,0,Southeasttrans,"",0,SOUTHEASTRANS INC,182716,180811,1,0,Southeastrans,"",1,,
AR,*PCCM001,Multiple Primary Care Providers,Arkansas,2020,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management Entity (PCCM Entity)),Multiple Primary Care Providers,Statewide,0,0,0,Multiple Primary Care Provider (PCCM),"",0,PCCM PHYSICIAN,439521,441832,1,0,AR State,"",1,,
AR,*PCCM002,Multiple Primary Care Providers,Arkansas,2020,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management Entity (PCCM Entity)),Multiple Primary Care Providers,Statewide,408871,1610,410481,Multiple Primary Care Provider (PCCM),"",0,PCCM FQHC,70804,71114,1,0,AR State,"",1,,
AR,*PCCM003,Multiple Primary Care Providers,Arkansas,2020,,Primary Care Case Management (PCCM),Connect Care (Primary Care Case Management Entity (PCCM Entity)),Multiple Primary Care Providers,Statewide,0,0,0,Multiple Primary Care Provider (PCCM),"",0,PCCM PCP GROUP,25158,25366,1,0,AR State,"",1,,
AZ,*010158,United Healthcare,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare,"Gila, Maricopa, Pima, and Pinal counties",348511,32489,381000,United Healthcare,United Healthcare Plan,1,UNITEDHEALTHCARE,440711,441852,1,0,United Healthcare,UnitedHealth Group,1,,
AZ,*010166,DCS/CHP,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DCS/CMDP,Statewide,13524,1,13525,Government Agency/Non-Profit Entity,DCS/CMDP,1,DCS/CHP,22504,22773,1,0,Government Agency/Non-Profit Entity,"",1,,
AZ,*010254,Care 1st Health Plan,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Care 1st,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",163745,13195,176940,WellCare/Centene Corporation,Care 1st Health Plan,1,CARE1ST HEALTH PLAN,202992,203469,1,0,Centene,Centene,1,2020-01-23,
AZ,*010306,Mercy Care,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care,"Gila, Maricopa and Pinal counties",319293,19174,338467,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,MERCY CARE PLAN,1213539,472316,1,0,Dignity Health|Ascension Health,Aetna/CVS,1,,
AZ,*010306,Mercy Care,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care RBHA (SMI),Maricopa county,24332,7574,31906,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,MERCY CARE PLAN,1213539,472316,1,0,Dignity Health|Ascension Health,Aetna/CVS,1,,
AZ,*010314,Banner University Family Care,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Banner University Family Care,"Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",222556,18610,241166,Banner Health,Banner University Family Care,1,BANNER UNIV FAMILY CARE,284769,285628,1,0,Banner Health,"",1,,
AZ,*010422,Arizona Complete Health,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Arizona Complete Health- Complete Care Plan RBHA (SMI),"Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, Santa Cruz, and Yuma counties",13776,4527,18303,Centene Corporation,Arizona Complete Health - Complete Care,1,AZ COMPLETE HEALTH CARE,695820,319339,1,0,Centene,Centene,1,,
AZ,*010422,Arizona Complete Health,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Arizona Complete Health-Complete Care Plan,"Cochise, Gila, Graham, Greenlee, LaPaz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",191130,17487,208617,Centene Corporation,Arizona Complete Health - Complete Care,1,AZ COMPLETE HEALTH CARE,695820,319339,1,0,Centene,Centene,1,,
AZ,*010497,Health Choice Arizona,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",184977,14669,199646,Blue Cross Blue Shield of Arizona,Steward Health Choice Arizona,1,HEALTH CHOICE ARIZONA,417034,326309,1,1,Blue Cross Blue Shield of Arizona,"",1,2020-01-02,
AZ,*010497,Health Choice Arizona,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona RBHA (SMI),"Apache, Coconino, Gila, Mohave, Navajo, and Yavapai counties",6011,2145,8156,Blue Cross Blue Shield of Arizona,Steward Health Choice Arizona,1,HEALTH CHOICE ARIZONA,417034,326309,1,1,Blue Cross Blue Shield of Arizona,"",1,2020-01-02,
AZ,*010500,Molina Complete Care of Arizona,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Magellan Complete Care,"Gila, Maricopa, and Pinal counties",28162,1226,29388,Magellan Health Services of Arizona,Magellan Complete Care,1,MOLINA COMPLETE CARE,53272,53531,1,0,Magellan,Magellan Health,1,,
AZ,*110007,DES/Division of Developmental Disabilities,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DES/Division of Developmental Disabilities (MLTSS),Statewide,27871,7826,35697,Government Agency/Non-Profit Entity,DES/Division of Developmental Disabilities,1,LTC DD DES,37276,37335,1,0,Government Agency/Non-Profit Entity,"",1,,
AZ,*110050,United Healthcare,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),United Healthcare (MLTSS),"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai counties",1332,8182,9514,United Healthcare,United Healthcare Plan,1,UNITEDHEALTHCARE LTC,12228,12575,1,0,United Healthcare,UnitedHealth Group,1,,
AZ,*110306,Mercy Care,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care (MLTSS),"Gila, Maricopa, Pima, and Pinal counties",2474,9844,12318,Dignity Health and Carondelet Health Network,Mercy Care Plan,1,MERCY CARE PLAN - LTC,15011,15358,1,0,Dignity Health|Ascension Health,Aetna/CVS,1,,
AZ,*110313,Banner University Family Care,Arizona,2020,,Comprehensive MCO + MLTSS,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Banner University Family Care (MLTSS),"Cochise, Gila, Graham, Greenlee, La Paz, Maricopa, Pima, Pinal, Santa Cruz, and Yuma counties",979,5670,6649,Banner Health,Banner University Family Care,1,BANNER - UNIVERSITY LTC,8656,8914,1,0,Banner Health,"",1,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- El Dorado,El Dorado County,0,0,0,InnovAge California PACE- El Dorado,"",0,,,,0,0,InnovAge,"",,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- Placer,Placer County,0,1,1,InnovAge California PACE- Placer,"",0,,,,0,0,InnovAge,"",,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- Sacramento,Sacramento County,1,9,10,InnovAge California PACE- Sacramento,"",0,,,,0,0,InnovAge,"",,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- San Joaquin,San Joaquin County,0,0,0,InnovAge California PACE- San Joaquin,"",0,,,,0,0,InnovAge,"",,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- Sutter,Sutter County,0,0,0,InnovAge California PACE- Sutter,"",0,,,,0,0,InnovAge,"",,,
CA,"",InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge California PACE- Yuba,Yuba County,0,0,0,InnovAge California PACE- Yuba,"",0,,,,0,0,InnovAge,"",,,
CA,"",Innovative Integrated Health Inc.,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Fresno PACE,Fresno County,554,300,854,"Innovative Integrated Health, Inc.","",0,,,,0,0,Innovative Integrated Health Inc.,"",,,
CA,*015,Aetna Better Health of CA,California,2020,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Aetna Better Health of CA/Sacramento,Sacramento County,10592,189,10781,Aetna Medicaid,Aetna Better Health of CA,1,AETNA BETTER HEALTH OF CALIFORNIA,15203,15581,1,0,CVS Health Corporation,Aetna/CVS,1,,
CA,*016,Aetna Better Health of CA,California,2020,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Aetna Better Health of CA/San Diego,San Diego County,14055,170,14225,Aetna Medicaid,Aetna Better Health of CA,1,AETNA BETTER HEALTH OF CALIFORNIA,20862,21096,1,0,CVS Health Corporation,Aetna/CVS,1,,
CA,*018,UnitedHealthcare Community Plan,California,2020,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan/San Diego,San Diego County,15927,301,16228,UnitedHealthcare,United Healthcare Plan,1,UNITED HEALTH CARE,23302,23591,1,0,United Healthcare,UnitedHealth Group,1,,
CA,*029,Community Health Group,California,2020,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Community Health Group Partnership Plan/San Diego,San Diego County,241338,16666,258004,Community Health Group,Community Health Group,1,COMMUNITY HEALTH GROUP PARTNERSHIP PLAN,301731,304099,1,0,Community Health Group,"",1,,
CA,*050,Sutter Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Sutter SeniorCare PACE/Sacramento,Sacramento County,109,323,432,Sutter Valley Hospitals,"",0,SUTTER SENIOR CARE,495,501,1,0,Sutter Health,"",1,,
CA,*051,Center for Elders Independence,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Center for Elders Independence/Alameda,Alameda County,127,588,715,Center for Elders Independence,"",0,CENTER FOR ELDERS INDEPENDENCE,820,852,1,0,Center for Elders Independence,"",1,,
CA,*052,AltaMed Health Services Corporation,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),AltaMed Senior Buenacare/Los Angeles,Los Angeles County,845,2029,2874,AltaMed Health Services Corporation,"",0,ALTA MED SENIOR BUENACARE,3347,3379,1,0,AltaMed Health Services Corporation,"",1,,
CA,*054,Center for Elders Independence,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Center for Elders Independence/Contra Costa,Contra Costa County,26,75,101,Center for Elders Independence,"",0,CENTER FOR ELDERS INDEPENDENCE (C COSTA),126,137,1,0,Center for Elders Independence,"",1,,
CA,*055,On Lok Lifeways,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/San Francisco,San Francisco County,120,870,990,On Lok Lifeways,"",0,ON LOK LIFEWAYS (SAN FRANCISCO),1126,1135,1,0,On Lok Lifeways,"",1,,
CA,*056,On Lok Lifeways,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/Alameda,Alameda County,109,163,272,On Lok Lifeways,"",0,ON LOK LIFEWAYS (ALAMEDA),322,322,1,0,On Lok Lifeways,"",1,,
CA,*057,Community Eldercare of San Diego,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),St. Paul's PACE/San Diego,San Diego County,245,763,1008,Community Eldercare of San Diego,"",0,ST. PAUL'S PACE,1217,1249,1,0,Community Eldercare of San Diego,"",1,,
CA,*058,On Lok Lifeways,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),On Lok Lifeways/Santa Clara,Santa Clara County,96,232,328,On Lok Lifeways,"",0,ON LOK LIFEWAYS (SANTA CLARA),385,389,1,0,On Lok Lifeways,"",1,,
CA,*059,CalOptima,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),CalOptima PACE/Orange,Orange County,200,179,379,CalOptima,"",0,CALOPTIMA PACE,470,480,1,0,CalOptima,"",1,,
CA,*060,Brandman Centers for Senior Care,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Brandman Centers for Senior Care/Los Angeles,Los Angeles County,48,212,260,Brandman Centers for Senior Care,"",0,BRANDMAN CENTERS FOR SENIOR CARE,314,325,1,0,Los Angeles Jewish Health,"",1,,
CA,*061,InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge PACE/Riverside,Riverside County,56,189,245,"Total Longterm Care, Inc.","",0,INNOVAGE (RIVERSIDE),366,380,1,0,InnovAge,"",1,,
CA,*062,InnovAge,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),InnovAge PACE/San Bernardino County,San Bernardino County,163,499,662,"Total Longterm Care, Inc.","",0,INNOVAGE (SAN BERNARDINO),868,1080,1,0,InnovAge,"",1,,
CA,*063,Humboldt Senior Resource Center,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Redwood Coast Pace/Humboldt,Humboldt County,26,177,203,Humboldt Senior Resource Center,"",0,"""""HUMBOLDT SENIOR RESOURCE CENTER, INC.""""                                           ",233,244,1,0,Humboldt Senior Resource Center,"",1,,
CA,*064,Golden Valley Health Centers,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Central Valley PACE,Stanislaus County,0,0,0,Golden Valley Health Centers,"",0,CENTRAL VALLEY MEDICAL SERVICES CORP,1001,1082,,0,Golden Valley Health Centers,"",1,,
CA,*064,Golden Valley Health Centers,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Central Valley PACE,San Joaquin County,0,0,0,Golden Valley Health Centers,"",0,CENTRAL VALLEY MEDICAL SERVICES CORP,1001,1082,,0,Golden Valley Health Centers,"",1,,
CA,*065,San Diego PACE,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),San Diego PACE,San Diego County,462,617,1079,San Diego PACE,"",0,SAN DIEGO PACE,1386,1403,1,0,San Ysidro Health,"",1,,
CA,*066,Welbe Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Stockton PACE/San Joaquin,San Joaquin County,64,113,177,Welbe Health,"",0,STOCKTON PACE (SAN JOAQUIN),252,282,1,0,Welbe Health,"",1,,
CA,*067,Welbe Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Stockton PACE/Stanislaus,Stanislaus County,6,12,18,Welbe Health,"",0,STOCKTON PACE (STANISLAUS),35,37,1,0,Welbe Health,"",1,,
CA,*068,Health Net,California,2020,,Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Health Net/San Diego,San Diego County,56867,11216,68083,Centene Corporation,Health Net,1,"""""HEALTH NET COMMUNITY SOLUTIONS, INC.""""                                            ",84287,85070,1,0,Centene,Centene,1,,
CA,*069,West Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Gary and Mary West PACE of Northern San Diego,San Diego County,15,61,76,West Health,"",0,GARY AND MARY WEST PACE,131,134,1,0,West Health,"",1,,
CA,*073,Family Health Centers of San Diego,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Family Health Centers of San Diego,San Diego County,25,26,51,Family Health Centers of San Diego,"",0,FAMILY HEALTH CENTERS OF SAN DIEGO,99,101,1,0,Family Health Centers of San Diego,"",1,,
CA,*074,Welbe Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Pacific PACE/Los Angeles,Los Angeles County,32,63,95,Welbe Health,"",0,PACIFIC PACE,154,155,1,0,Welbe Health,"",1,,
CA,*076,Welbe Health,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Coastline PACE,Los Angeles County,4,13,17,Welbe Health,"",0,LA COAST (PACE),59,61,1,0,Welbe Health,"",,,
CA,*077,Innovative Integrated Health Inc.,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Bakersfield PACE,Tulare,0,0,0,"Innovative Integrated Health, Inc.","",0,BAKERSFIELD (TULARE) PACE,1,1,,0,Innovative Integrated Health Inc.,"",,,
CA,*078,Innovative Integrated Health Inc.,California,2020,,Program of All-Inclusive Care for the Elderly (PACE),Program of All-Inclusive Care for the Elderly (PACE),Bakersfield PACE,Kern,46,16,62,"Innovative Integrated Health, Inc.","",0,BAKERSFIELD (KERN) PACE,99,121,,0,Innovative Integrated Health Inc.,"",,,
